date,n_headlines,summary
2023-01-03,10,"**Ownership Increase:** Bullish. Multiple firms increased stakes or initiated positions in NBTB, including Denali Advisors, Lazard Asset Management, Captrust Financial Advisors, Quantbot Technologies, Graham Capital Management, and Atria Wealth Solutions.

**Earnings & Guidance:** Neutral. NBTB released Q4 2022 financial results on Oct 25th. Analysts predict EPS of 3.63 for the current year.

**Stock Price:** Neutral. Stock opened at $43.42 on Tuesday. No significant price movement noted."
2023-01-08,6,"**Insider & Ownership Activity:** Bullish. Director Heidi M. Hoeller acquired 750 shares, indicating confidence. Citigroup Inc. increased its stake by 11.8%, while Revenue Sells decreased holdings by 2,730 shares.

**Revenue & Earnings:** Bullish. Q4 revenue was $131.65M vs. expectations of $130.48M, beating estimates. EPS forecast for FY is 3.61.

**Net Tilt:** Bullish. Positive insider and institutional activity, along with revenue beat, outweighs the slight decrease in one ownership position."
2023-01-10,6,"**Ownership Changes:** Captrust Financial Advisors increased stake by 198.9%, while Cwm LLC sold shares (-0.34%). New positions were acquired by Lazard Asset Management, Graham Capital Management, and Atria Wealth Solutions (each 0.18%). **Direction:** Bullish (institutional buying outweighs selling).

**Stock Price:** Opened at $42.29. **Direction:** Neutral (no significant movement).

**Net Tilt:** Bullish (multiple new acquisitions and a large stake increase indicate institutional confidence)."
2023-01-12,11,"**Insider & Institutional Buying:** Bullish. Heidi M. Hoeller, a director, purchased 750 shares. Goldman Sachs, Invesco, State Street, Robeco, Victory Capital, and Handelsbanken Fonder all increased their stakes.

**Revenue Beat:** Bullish. Q4 revenue was $131.65M vs. estimates of $130.48M.

**EPS Guidance:** Neutral. Analysts predict FY EPS of 3.63.

**Net Tilt:** Bullish. Multiple insider and institutional buys indicate strong support. Revenue beat suggests positive momentum."
2023-01-19,12,"**Revenue Beat:** Q4 revenue of $131.65M vs. estimates of $130.48M (bullish).

**Institutional Ownership Increases:** Multiple institutions including Blackrock, Vanguard, Dimensional Fund Advisors, Goldman Sachs, Handelsbanken Fonder, Denali Advisors, Exchange Traded Concepts, and Exoduspoint Capital Management increased their stakes (bullish).

**New Stake Acquired:** New York State Teachers Retirement System bought 676 shares (bullish).

**Stock Price:** Opened at $42.36 on Thursday (neutral).

**Net Tilt:** Strongly Bullish."
2023-01-20,1,"**Earnings Estimate:** Analysts predict EPS of $0.92 for Q4 2022. (Neutral)

No other specific trading signals or catalysts mentioned today. No upgrades, downgrades, or changes in price targets noted. Absence of additional details suggests no clear directional bias beyond the neutral earnings estimate. 

NET TILT: Neutral"
2023-01-22,2,"**Revenue Above Expectations:** Bullish. NBT Bancorp reported Q4 revenue of $131.65 million, beating the consensus estimate of $130.48 million.

**Earnings Release:** Neutral. Earnings results scheduled for release on January 23rd.

**Net Tilt:** Bullish due to revenue beat."
2023-01-23,14,"**Earnings Miss:** Q4 Non-GAAP EPS of $0.86 missed expectations by $0.05, indicating **bearish** sentiment. Full-year net income of $152M is positive but Q4 provision expense increased by $3.2M YoY, also **bearish**.

**Expense Trends:** Noninterest expenses declined excluding one-time items, **bullish**, while overall expenses rose, **bearish**.

**Contract & M&A:** Entered a merger agreement with Salisbury Bancorp, **bullish** for long-term growth.

**Share Buyback:** Purchased 400,000 shares, **bullish** for shareholder value.

**Dividends:** Approved a $0.30 quarterly dividend, **neutral**.

**Net Tilt:** Mixed signals, but **net bearish** due to earnings miss and rising expenses."
2023-01-24,10,"**Piper Sandler Downgrades NBT Bancorp:** Price target cut to $42 from $48 (Bearish).

**Revenue Mixed:** Q4 revenue beat at $133.87M vs. $126.29M consensus; FY2022 revenue missed at $517.77M vs. $518.31M consensus (Net Neutral).

**Earnings Positive:** Q4 pre-tax profit up to $51.39M from $48.09M; FY2022 adjusted pre-tax income up to $201.16M from $199.86M (Bullish).

**Dividends Strong:** Q4 dividend per share increased to $0.30 from $0.28; FY2022 dividend per share exceeded expectations at $1.16 vs. $1.15 consensus (Bullish).

**EPS Negative:** FY2022 EPS-Non-GAAP down to $3.56 from $3.59 (Bearish).

**Stock Performance Weak:** NBTB fell over 7% intraday (Bearish)."
2023-01-25,2,"**Earnings Below Expectations:** NBT Bancorp reported FY22 EPS of $0.74, missing expectations. **Bearish** due to earnings miss.

No other significant trading signals or catalysts noted. **Net Tilt:** Bearish."
2023-01-26,7,"**Price Target Downgrade:** Stephens downgraded NBT Bancorp, lowering the price target to $42 from $47 (Bearish).

**Institutional Ownership Increases:** Multiple institutions increased their stakes: Blackrock (+0.9%), Vanguard (+2.0%), Dimensional Fund Advisors (+2.8%), State Street (+9.1%), and Bank of New York Mellon (+1.0%) (Bullish).

**Earnings Estimate:** Analysts predict EPS of 3.8 for the current fiscal year (Neutral).

**Net Tilt:** Mixed signals with a slight **Bearish** lean due to the price target downgrade."
2023-01-27,6,"**Price Target Downgrade:** Stephens downgraded NBTB, reducing the price target from $47.00 to $42.00 (Bearish).

**Insider Buy:** Director Heidi M. Hoeller acquired 750 shares (Bullish).

**Ownership Increases:** Lazard Asset Management LLC initiated a new stake, and Captrust Financial Advisors increased holdings by 198.9% (Bullish).

**Stock Performance:** NBTB stock was flat, gaining 0.0% (Neutral).

**Net Tilt:** Mixed signals with a slight net bullish bias due to insider and institutional buying activity."
2023-01-28,4,"**Insider Buy:** Bullish. Director Jason David Brown purchased 650 shares.

**Revenue Beat:** Bullish. Q4 revenue was $131.65M vs. consensus $130.48M.

**Advisors' Position Boost:** Bullish. Advisors increased holdings by 198.9%.

**Teachers' Retirement Stake Growth:** Bullish. NYSTRS increased stake by 0.7%.

**Net Tilt:** Strongly Bullish. All signals indicate positive momentum and confidence."
2023-01-30,6,"**Insider and Institutional Buying:** Bullish. NBT Bancorp Inc. (NASDAQ:NBTB) saw significant insider buying with a director purchasing $24,167 in stock. Additionally, multiple institutions increased their stakes: Goldman Sachs raised its stake by 136.0%, Invesco by 163.7%, State Street by 9.1%, Victory Capital by 465.7%, and BlackRock by 0.9%. This indicates strong institutional support and confidence in the company’s future prospects.

NET TILT: BULLISH"
2023-02-04,9,"**Net Tilt: Bearish**

- **Bearish:** StockNews.com downgraded NBTB, lowering the stock rating.
- **Bullish:** Heidi M. Hoeller, a director, acquired 750 shares.
- **Bullish:** Multiple institutions increased their stakes: Citigroup Inc. (11.8%), Fund (0.9%), Handelsbanken Fonder AB (5.5%), New York State Teachers Retirement System (1.7%), and Teacher Retirement System of Texas also bought shares.
- **Neutral:** NBTB stock traded up 0.6%.

Conflicting signals; overall tilt is bearish due to the downgrade."
2023-02-06,1,"**Com Downgrades NBT Bancorp (NASDAQ:NBTB) to Sell**

- **Direction:** Bearish
- **Evidence:** Com downgraded NBT Bancorp to Sell with a new price target of $0.98, indicating a negative outlook.

NET Tilt: Bearish"
2023-02-07,8,"**Analyst Downgrade:** Com downgraded NBT Bancorp from ""hold"" to ""sell"" (bearish).

**Institutional Ownership Changes:**
- **Buys/Raises:** Lazard Asset Management, Captrust Financial Advisors, Quantbot Technologies, Graham Capital Management, and Atria Wealth Solutions all increased holdings (bullish).
- **Sells:** Kbc Group NV sold 581 shares (bearish).

**Net Tilt:** Mixed signals with institutional buying outweighing the analyst downgrade and small sell-off."
2023-02-09,4,"**Ownership Changes:** Bullish signals as Citigroup Inc. increased its stake by 11.8%, Metlife Investment Management LLC by 59.9%, and Great West Life Assurance Co. Can also increased their stakes. Bearish signal from Prudential Financial Inc., which reduced its position by 27.6%. **Net Tilt:** Mixed, but slightly bullish due to larger increases from major institutions."
2023-02-13,5,"**Analyst Downgrades & Price Target Adjustments:** Com downgraded NBT Bancorp from ""hold"" to ""sell,"" while Stephens lowered their price objective (bearish). 

**Ownership Changes:** Victory Capital Management increased holdings by 38.3%, but Barclays sold 4,355 shares (mixed signals).

**Stock Price:** Opened at $40.61 (neutral).

**Net Tilt:** Bearish due to analyst downgrade and price target reduction, despite some positive ownership activity."
2023-02-15,3,"**Insider & Institutional Buying:** Bullish. Heidi M. Hoeller, a director at NBT Bancorp, purchased 750 shares on Dec 12th. Additionally, Captrust Financial Advisors increased its stake by 198.9% in Q1, and Mutual of America Capital Management LLC also acquired shares. These actions indicate confidence among insiders and institutional investors.

**Net Tilt:** Bullish."
2023-02-16,5,"**Ownership Increase:** Multiple firms (Lazard Asset Management LLC, Quantbot Technologies LP, Graham Capital Management L.P., Atria Wealth Solutions Inc.) acquired new positions in NBT Bancorp in Q1, indicating **bullish** sentiment (DIRECTION: Bullish).

**Stock Performance:** NBT Bancorp stock gained 2.3% (DIRECTION: Bullish).

**NET Tilt:** Bullish."
2023-02-23,2,"Analysts at StockNews.com upgraded NBTB to ""Hold,"" a positive signal. AllianceBernstein L.P. increased its stake by 1.7% in Q4, indicating institutional support. Net tilt: Bullish."
2023-02-25,7,"**Ownership Increases:** HSBC Holdings, Lazard Asset Management, Quantbot Technologies, Graham Capital Management, and Atria Wealth Solutions all increased their stakes or initiated new positions in NBT Bancorp in Q1. Evidence: Multiple institutional investors boosting holdings. **Direction:** Bullish.

**Stock Price:** Shares opened at $40.62 on Friday. Evidence: Current market valuation. **Direction:** Neutral.

**Net Tilt:** Bullish due to significant ownership increases."
2023-02-28,1,"**Ownership Decrease:** MML Investors Services sold shares of NBT Bancorp Inc. (NBTB), reducing ownership by 0.34%. **Direction:** Bearish. Evidence: Institutional selling can indicate reduced confidence in the stock.

**Net Tilt:** Bearish."
2023-03-05,4,"**Analyst Downgrades:** Com lowered NBT Bancorp from ""hold"" to ""sell,"" indicating **bearish** sentiment. Stephens also reduced their price target, further signaling **bearishness**.

**Insider Activity:** Heidi M. Hoeller, a director, acquired 750 shares, suggesting **bullish** insider confidence. However, this is offset by the analyst downgrades.

**Ownership Changes:** Blackrock Inc. increased its stake by 0.9%, showing **bullish** institutional interest. 

**Net Tilt:** Conflicting signals exist between analyst downgrades and insider/institutional buying, resulting in a **net bearish** tilt due to stronger analyst influence."
2023-03-06,2,"**Ownership Increase:** Advisors increased holdings in NBT Bancorp by 198.9% in Q1, indicating **bullish** sentiment among institutional investors.

**Stock Price Stability:** NBTB opened at $39.92, showing no significant change from the previous day, suggesting **neutral** market reaction.

**Net Tilt:** Bullish due to strong ownership increase, but tempered by stable stock price."
2023-03-07,3,"**Share Price Drop:** NBTB’s share price fell 0.51%. **Bearish**.

**Institutional Ownership Increase:** 
- New York State Teachers Retirement System increased holdings by 1.7% in Q3.
- Another fund increased holdings by 0.9% in Q2. **Bullish**.

**Net Tilt:** Mixed signals with institutional buying supporting but share price dropping. **Neutral**."
2023-03-10,9,"**Analyst Upgrade & Insider Buying:** StockNews.com upgraded NBTB from ""Sell"" to ""Hold."" CFO Scott Allen Kingsley bought 2,310 shares. **Bullish.**

**Institutional Ownership Growth:** Lazard Asset Management, Picton Mahoney Asset Management, Captrust Financial Advisors, and Llc increased their stakes. **Bullish.**

**Price Movement:** NBTB traded down 3.7%. **Bearish.**

**Net Tilt:** Mixed signals with institutional buying and upgrades offset by recent price decline. **Neutral.**"
2023-03-11,2,"**Insider and Institutional Activity:**  
- **Bullish:** Heidi M. Hoeller, a director at NBT Bancorp, acquired 750 shares on Dec 12th.  
- **Bullish:** Citigroup Inc. increased its stake by 11.8% in Q1, indicating confidence in the stock.

NET TILT: Bullish."
2023-03-12,1,"**Ownership Increase:** Bullish. Can lifted its position in NBT Bancorp by 14.7% in the 3rd quarter, indicating increased confidence in the stock.

No conflicting signals present. **NET TILT:** Bullish."
2023-03-13,1,"Insider buying at NBTB indicates potential confidence among insiders, with an insider purchasing shares worth $0.52 million. This is a **bullish** signal as insider activity often reflects internal views on stock valuation and company prospects.

Net Tilt: **Bullish**"
2023-03-14,4,"**Insider & Institutional Buying:** Bullish. CFO Scott Allen Kingsley purchased 2,310 shares, and institutional investors like State Street Corp and Td Asset Management Inc. increased their stakes by 9.1% and 38.0%, respectively.

**Stock Performance:** Bearish. Shares opened at $35.39, down from previous levels.

**Net Tilt:** Mixed signals with insider and institutional buying indicating support, but the stock opening lower suggests some bearish sentiment."
2023-03-15,2,"**Ownership Increase:** AllianceBernstein L.P. increased its stake in NBTB by 1.7% in Q4, indicating institutional bullishness (bullish).

**Stock Performance:** NBTB hit a new 1-year low of $33.53, signaling continued bearish pressure (bearish).

**Net Tilt:** Conflicting signals; overall slightly bearish due to recent stock performance."
2023-03-20,1,"**Merger Update:** Salisbury Bancorp announced a merger with NBTB. The deal is valued at $0.63 in earnings per share (EPS) synergies. **Direction:** Bullish. **Evidence:** EPS synergy indicates potential cost savings and operational efficiencies.

**Analyst Actions:** No specific analyst actions noted. **Direction:** Neutral. **Evidence:** Lack of analyst upgrades/downgrades or changes in price targets.

**Earnings Surprises:** No earnings surprises reported. **Direction:** Neutral. **Evidence:** No beat/miss data provided.

**Catalysts:** Potential for increased market share and operational scale post-merger. **Direction:** Bullish. **Evidence:** Merger suggests strategic growth through consolidation.

**Net Tilt:** Bullish. **Evidence:** Positive EPS synergy and potential for enhanced market position outweigh neutral factors.

*Action Recommendation:* Consider **BUY** based on merger benefits."
2023-03-27,6,"**Insider and Institutional Activity:** Bullish. CFO Scott Allen Kingsley bought 2,310 shares. Vanguard, State Street, Goldman Sachs, and Invesco all increased their positions significantly (2-163.7%). However, one LLC sold 6,120 shares, which is bearish. **Net Tilt:** Slightly Bullish due to substantial insider and institutional buying outweighing the single large sale."
2023-03-29,4,"**Ownership Increase:** Bullish. Llc acquired a new stake, and Bank of New York Mellon Corp increased holdings by 1.0%. Assenagon Asset Management S.A. invested $1.74M.

**Stock Performance:** Bearish. NBT Bancorp stock down 1.2%.

**Net Tilt:** Mixed signals with slight bullish bias due to significant institutional interest but recent stock decline."
2023-03-31,3,"**Ownership Increases:** Bullish. Royal Bank of Canada increased holdings by 3.5%, Handelsbanken Fonder AB by 5.5%, and New York State Teachers Retirement System by 1.7% in Q3, indicating institutional confidence.

NET TILT: Bullish."
2023-04-03,1,"NBTB is set to release Q1 2023 financial results. No specific figures or analyst actions provided yet. The absence of detailed metrics or analyst updates limits immediate directional signals. Traders should focus on EPS, revenue, and guidance during the earnings call for actionable insights. **NET TILT: Neutral** until more data emerges."
2023-04-06,7,"**Price Target Downgrades:** Keefe, Bruyette & Woods downgraded NBT Bancorp’s price target to $37.50 from $42; Raymond James lowered it to $47 from $49. **Bearish**.

**Stock Performance:** NBT Bancorp set a new 1-year low at $33.00. **Bearish**.

**Ownership Increases:** Llc acquired a new stake in NBT Bancorp in Q4; Captrust Financial Advisors increased its position by 198.9% in Q1. **Bullish**.

**Analyst Rating:** Raymond James maintains a “Strong Buy” rating. **Bullish**.

**Net Tilt:** Conflicting signals but overall **Bearish** due to multiple downgrades and hitting a new 1-year low."
2023-04-07,6,"**Price Target Downgrade:** Raymond James downgraded NBTB, trimming the price target from $49.00 to $47.00 (Bearish).

**Revenue Update:** Q1 revenue reported at $569MM (Neutral).

**Dividend Announcement:** NBT Bancorp declared a dividend of $0.30 per share (Bullish).

**Analyst Rating:** Keefe, Bruyette & Woods maintained a ""Market Perform"" rating (Neutral).

**Earnings Guidance:** Analysts forecast FY EPS at 3.46 (Neutral).

**Net Tilt:** Mixed signals with a slight lean towards Neutral due to conflicting bullish and bearish indicators."
