date,n_headlines,summary
2023-01-01,11,"**Revenue Beat:** Bullish; Q4 revenue was $47.73M vs. expectations of $47.00M.

**Institutional Ownership Growth:** Bullish; multiple institutions increased holdings: Eaton Vance by 44,565.5%, Invesco by 17.6%, Exchange Traded Concepts by 3.7%, and Cubist Systematic Strategies and Department by significant percentages in different quarters.

**Stock Price Drop:** Bearish; MSEX stock fell 3.9% on Friday despite positive earnings and revenue beat.

**Net Tilt:** Mixed signals but overall slightly bullish due to strong institutional support and revenue beat."
2023-01-03,4,"**Ownership Changes:** 
- **Bullish:** Inc. increased its stake in MSEX by 67.9%, indicating confidence.
- **Bearish:** Llc reduced its position, showing some hesitation.
- **Bullish:** Raymond James & Associates initiated a new position worth $316,000.

**Net Tilt:** Bullish due to significant stake increases outweighing the reduction."
2023-01-08,5,"**Revenue Beat:** Bullish. Q4 revenue was $47.73M vs. estimates of $47.00M.

**Institutional Ownership Increase:** Bullish. Both Bank of Montreal and System increased holdings by 2.1% and 2.0%, respectively.

**Analyst Estimate:** Neutral. EPS forecast for FY is $2.29.

**Net Tilt:** Bullish. Revenue beat and institutional buying indicate strong fundamentals."
2023-01-09,6,"**Ownership Trends:** Bullish. BNY Mellon, American Century, Citigroup, and MetLife all increased their stakes in MSEX, with MetLife’s increase being particularly significant at 57.2%. However, Revenue trimmed its stake by 8.2%, indicating some mixed signals.

**Price Action:** Neutral. MSEX opened at $80.02 on Monday, showing no change from previous close.

**Net Tilt:** Slightly Bullish due to multiple large institutional increases outweighing the single reduction."
2023-01-11,2,"Insider activity shows mixed signals: VP Bernadette M. Sohler sold 2,200 shares (bearish), while an unnamed institutional investor increased holdings by 7.0% in Q3 (bullish). Net direction unclear due to conflicting insider actions."
2023-01-15,4,"**Ownership Increases:** Bullish. Bank of Montreal Can increased holdings by 2.1%, and Janney Montgomery Scott LLC grew its stake by 5.3%. Assenagon Asset Management S.A. also bought 13,731 shares.

**Earnings Release:** Neutral. Middlesex Water released its quarterly earnings data on October 28th, but no specific details on EPS or revenue were provided in the headlines.

**Net Tilt:** Bullish due to multiple ownership increases."
2023-01-18,4,"**Ownership Changes:**  
- **Bullish:** Bank of Montreal increased its stake in MSEX by 2.1%.  
- **Bearish:** Comerica Bank reduced its holdings in MSEX.  

**Price Movement:**  
- **Bearish:** MSEX traded down 0.6%.  

**Holding Details:**  
- **Neutral:** Comerica Bank holds a $2.53 million position in MSEX.  

**Net Tilt:** Mixed signals with slight lean towards bearish due to price decline and reduction in holdings by Comerica Bank."
2023-01-28,5,"**Insider Activity:** Bearish - VP Bernadette M. Sohler sold 2,200 shares, indicating potential insider concerns.

**Ownership Changes:** Bullish - Exchange Traded Concepts LLC increased stake by 3.7%, while another entity increased by 67.9%. Girozentrale invested $338,000, showing institutional interest.

**Earnings Estimate:** Neutral - Analysts predict EPS of 2.29 for FY, no change from previous estimates.

**Net Tilt:** Mixed signals with slight bullish bias due to significant institutional buying despite insider sell-off."
2023-01-30,5,"**Management Activity:** Bearish. Management sold 584 shares and reduced their position by 9.3%, indicating a lack of confidence.

**Revenue Performance:** Bullish. Q4 revenue was $47.73M, beating estimates of $47.00M, showing strong execution.

**Stock Price:** Neutral. Opened at $85.93 on Monday, unchanged from previous close.

**Net Tilt:** Mixed signals with management activity bearish and revenue performance bullish."
2023-02-02,8,"Institutional ownership trends show mixed signals for MSEX. Bullish: Bank of New York Mellon, American Century Companies, Citigroup, Bank of Montreal, Metlife Investment Management, and Exchange Traded Concepts all increased their stakes, with Metlife showing a significant 57.2% boost. Bearish: Allspring Global Investments reduced its position by 44.6%. MSEX stock closed up 3.0%, indicating some positive market sentiment. Net tilt: Bullish due to multiple large increases outweighing the substantial reduction."
2023-02-03,1,"**Dividend Unchanged:** Bullish. Middlesex Water Co. (MSEX) maintained its quarterly cash dividend at $0.3125 per share, signaling stability and confidence in its financial position. This move supports investor returns and may attract income-focused investors."
2023-02-06,14,"**Ownership Trends:** Captrust Financial Advisors significantly increased its stake by 2,666.7%, while several firms like Quantbot Technologies, Bank of New York Mellon, American Century Companies, Citigroup, Bank of Montreal, Metlife Investment Management, Exchange Traded Concepts, Mutual of America Capital Management, and Raymond James & Associates either initiated or increased their positions. However, Yousif Capital Management LLC reduced its holdings. **Net Direction:** Bullish due to substantial increases outweighing minor reductions.

**Price Action:** Middlesex Water traded up 0.7%. **Direction:** Bullish.

**Analyst Actions:** No specific analyst actions reported. **Direction:** Neutral.

**Net Tilt:** Bullish."
2023-02-09,5,"**Insider Activity & Ownership Changes:** Bearish - VP Bernadette M. Sohler sold 2,200 shares, indicating potential insider concerns. However, Llc purchased a new stake, showing institutional interest.

**Stock Performance:** Bearish - MSEX opened at $86.09, down 0.11% from previous close.

**Ownership Details:** Neutral - Victory Capital Management Inc. holds a $542,000 position, maintaining stable ownership.

NET TILT: Bearish due to insider sell, despite new institutional interest."
2023-02-10,1,"**Ownership Update:** Manufacturers Life Insurance Company increased its position in MSEX to $538,000. **Bullish** as institutional buying often signals confidence in the stock’s future performance.

---

No other trading-relevant signals provided in the given headline."
2023-02-12,9,"Bullish signals: Captrust Financial Advisors increased stake by 2,666.7%, Mutual of America Capital Management LLC increased holdings by 17.0%, Barclays PLC increased position by 16.5%, Exchange Traded Concepts LLC increased position by 3.7%, Raymond James & Associates purchased a new stake. Bearish signal: One LLC reduced position. Net bullish tilt due to significant increases from major investors."
2023-02-13,2,"**Dividends:** Bullish. Middlesex Water declared a dividend of $0.31 per share, indicating financial stability and confidence in future earnings.

**Revenue:** Neutral. Revenue came in at $186MM, meeting expectations but lacking specific growth or decline details to tilt sentiment decisively.

NET TILT: Neutral. The dividend suggests positive financial health, but the revenue figure alone does not provide enough directional signal to override this."
2023-02-15,3,"**Ownership Increases:** 
- **Bullish:** Janney Montgomery Scott LLC increased holdings by 5.3% in Q2.
- **Bullish:** Bank of Montreal Can increased holdings by 2.1% in Q1.
- **Bullish:** Mutual of America Capital Management LLC acquired shares.

NET TILT: Bullish. Multiple institutional investors have increased their stakes in MSEX, indicating confidence in the stock."
2023-02-16,4,"**Ownership Increases and New Positions:**  
Inc. increased holdings by 67.9%, while Quantbot Technologies LP and Russell Investments Group Ltd. initiated new positions. (Bullish) Evidence: Institutional buying indicates confidence in MSEX’s prospects.

**Stock Performance:**  
Shares opened at $85.66. (Neutral) No direct signal but context for current valuation.

NET TILT: Bullish due to significant institutional inflows."
2023-02-20,3,"**Ownership Changes:** 
- **Bullish:** Inc. increased holdings by 67.9%, indicating confidence. Quantbot Technologies LP also initiated a new position.
- **Bearish:** Oppenheimer & Co. Inc. decreased their position, suggesting a less optimistic view.

**Net Tilt:** Mixed signals with some bullish and one bearish indicator."
2023-02-24,8,"**Earnings:** Q4 EPS fell to $0.40 from $0.41 YoY, missing estimates by 24.53%. Full-year profit was $42.4M. **Bearish**.

**Dividends:** Dividend increased 7.76% in Q3 2022. **Bullish**.

**Expenses:** O&M expenses noted but no specific figures provided. **Neutral**.

**Net Tilt:** Bearish due to earnings miss and decline."
2023-02-25,2,"**Earnings Miss:** MSEX reported FY GAAP EPS of $2.39, missing expectations by $0.04 (bearish).

**Revenue Beat:** FY2022 EPS was $2.39 vs. $2.07 prior year, indicating a revenue beat (bullish).

**Net Tilt:** Mixed signals with a slight bearish lean due to the earnings miss."
2023-02-26,9,"**Ownership Increases:** Captrust Financial Advisors, Quantbot Technologies LP, Bank of New York Mellon Corp, Citigroup Inc., Bank of Montreal Can, and Metlife Investment Management LLC all increased their stakes in MSEX (Bullish). Hsbc Holdings PLC also initiated a new stake (Bullish).

**Price Movement:** MSEX shares are down 3.4% from a week ago (Bearish).

**Opening Price:** Shares opened at $83.21 on Friday (Neutral).

**Net Tilt:** Bullish due to significant institutional buying despite recent price decline."
2023-02-27,1,"Zacks maintains Hold rating on MSEX with unchanged price target, indicating neutral stance. No specific EPS, revenue, or other financial metrics mentioned. Absence of upgrades/downgrades, earnings surprises, or significant catalysts suggests no immediate bullish or bearish signals. Trader should consider holding position or seek further analysis for next session."
2023-02-28,7,"**Analyst Downgrades:** StockNews.com downgraded MSEX to ""Sell."" Janney lowered the price target to $93 from $97. **Bullish:** LLC increased stake by 2,142.9% in Q4; Inc. upped holdings by 67.9% in Q2. **Bearish:** FY2022 revenue missed consensus at $162.43M vs. $165.25M; Q4 sales fell short at $38.82M vs. $41.45M. **Neutral:** Dividend announced for March 1st. **Net Tilt:** Bearish due to analyst downgrades and revenue misses."
2023-03-01,6,"**Price Target Downgrade:** Baird downgraded Middlesex Water, lowering the price target to $88 from $97. **Bearish.**

**Insider Sell:** VP Bernadette M. Sohler sold 2,200 shares. **Bearish.**

**Ownership Increases:** Exchange Traded Concepts LLC, Raymond James & Associates, Mutual of America Capital Management LLC, and Amundi increased their holdings. **Bullish.**

**Net Tilt:** Mixed signals with one major downgrade and insider sell offset by multiple ownership increases. **Net slightly bearish due to analyst downgrade and insider activity.**"
