date,n_headlines,summary
2023-01-01,59,"**Bullish Signals:**
- **Earnings Beat:** Amazon reported EPS of $0.31.
- **Price Target Upgrade:** Cowen raised their price target from $150.00 to $160.00.

**Bearish Signals:**
- **Massive Downgrades:** Multiple firms downgraded price targets significantly (e.g., Needham from $175.00 to $120.00, Barclays from $200.00 to $140.00).
- **Rating Downgrade:** Erste Group Bank downgraded from ""buy"" to ""hold.""
- **Insider Sales:** CEO Adam Selipsky, CFO Brian T. Olsavsky, and other executives sold shares.
- **Ownership Increase:** State Street Corp increased holdings by 1,869.1%.

**Net Tilt:** Bearish due to overwhelming downgrades and insider sales, despite some positive signals."
2023-01-02,20,"**Bearish Signals:**
- **Price Target Downgrades:** Needham & Co., Raymond James, Jefferies, Morgan Stanley, Sanford C. Bernstein, Telsey Advisory Group, and Piper Sandler all downgraded AMZN’s price targets, with most reducing targets significantly (Needham from $175 to $120, Raymond James from $164 to $130, etc.). 
- **Revenue Growth:** While revenue grew 14.7% YoY, the significant PT reductions suggest analysts are concerned about future growth prospects.

**Bullish Signals:**
- **Institutional Ownership Increases:** Multiple firms increased their stakes in AMZN, including Wedbush Securities, Ltd., Llc, and Counsel Inc., indicating continued institutional confidence.
- **New Acquisitions:** Bridge Advisory LLC, Sarasin & Partners LLP, and Norway Savings Bank acquired new shares, suggesting some investors see value despite broader concerns.

**Net Tilt:** Bearish due to overwhelming analyst downgrades outweighing positive ownership trends."
2023-01-03,13,"**Analyst Actions:** Bullish (Buy initiation by New Street), Bearish (Price target downgrades by Citigroup to $145.00 and Wedbush to $140.00).

**Legal & Regulatory:** Bearish (Lawsuit loss, FTC review, chat app shutdown).

**Financials & Ownership:** Mixed (Secured $8B loan, ownership increase by one entity, decrease by another).

**Operations:** Bearish (Warehouse robbery).

**Net Tilt:** Bearish due to multiple regulatory and legal headwinds, mixed financial signals, and operational issues."
2023-01-04,76,"**Bullish Signals:**
- Cowen upgraded price target from $150.00 to $160.00.

**Bearish Signals:**
- Multiple downgrades: Barclays ($140.00), Oppenheimer ($130.00), Royal Bank of Canada ($135.00), Wells Fargo ($155.00), Sanford C. Bernstein ($125.00), Mizuho ($135.00), Wolfe Research ($130.00), Robert W. Baird ($130.00), JPMorgan ($130.00), Rosenblatt Securities ($103.00), Credit Suisse ($142.00), Deutsche Bank ($130.00), Bank of America ($137.00), JMP Securities ($140.00), Piper Sandler ($119.00), Da Davidson ($114.00), MKM Partners ($145.00).
- Amazon scaled back Amazon Scout.
- Amazon UK workers plan to strike on January 25.
- Shares dropped by around 50%.

**Net Tilt:** Bearish."
2023-01-05,78,"**Bearish Signals:**
- **Price Target Downgrades:** Needham & Co. lowered target from $175 to $120; UBS from $165 to $125; Jefferies from $165 to $135; Robert W. Baird from $150 to $130; Wolfe Research from unspecified to $115.
- **Revenue Guidance and Earnings Miss:** Amazon’s Q4 revenue guidance and earnings missed expectations.
- **Strikes and Layoffs:** First strike by Amazon workers; company to lay off approximately 18,000 jobs (~6% workforce).
- **Sanctions:** France fined Amazon €3.3M.

**Bullish Signals:**
- **Revenue Growth:** AWS revenue increased despite overall revenue slowing.

**Net Tilt:** Bearish due to multiple downgrades, earnings miss, and significant layoffs."
2023-01-06,32,"**Bearish Signals:**
- **Price Target Downgrades:** Morgan Stanley ($140 from $175), Raymond James ($130 from $164), Citigroup ($145 from $185), Telsey Advisory Group ($140 from $150), Piper Sandler ($119 from $125).
- **Earnings Miss:** Q4 guidance below expectations.
- **Stock Sales:** Time to sell Amazon stock, insider sale by SVP David Zapolsky (8,380 shares).
- **Layoffs:** Confirmed layoffs, Amazon India laying off 1% of workforce.
- **Revenue Shifts:** Amazon exiting brick-and-mortar stores, stock decline.

**Bullish Signals:**
- **Product Launches:** New Ring products, dashboard camera, Ring Car Cam.
- **Cost Cuts:** Plans to reduce expenses.
- **Revenue Growth:** Reported 10% increase in net sales, FY2022 revenues to reach $511.5 billion.
- **Price Cuts:** Up to 55% price reductions.
- **Ownership Changes:** Increased stakes by Tn and Beach, purchase by Stewart & Patten Co. LLC.

**Net Tilt:** Bearish due to multiple downgrades and earnings miss outweighing product launches and revenue growth."
2023-01-07,53,"**Bullish Signals:**
- Cowen upgraded price target from $150.00 to $160.00.
- Several institutions increased holdings: Markel Corp, Counsel Inc., Capital Advisors Inc., Legal & General Group Plc, State Street Corp.

**Bearish Signals:**
- Multiple downgrades: Barclays ($140.00), Atlantic Securities ($120.00), Oppenheimer ($130.00), RBC ($135.00), Tigress Financial ($192.00), Monness Crespi & Hardt ($136.00), Citigroup ($145.00), Sanford C. Bernstein ($125.00), Raymond James ($130.00), UBS ($125.00), Wells Fargo ($155.00), Wedbush ($140.00), Wolfe Research ($130.00), Credit Suisse ($142.00), JPMorgan ($130.00), Robert W. Baird ($130.00), Rosenblatt Securities ($103.00), Mizuho ($135.00), Evercore ISI ($150.00), Deutsche Bank ($130.00), JMP Securities ($140.00), Truist"
2023-01-08,17,"**Bearish Signals:**
- **Price Target Downgrades:** Needham & Co. lowered PT from $175 to $120; Wedbush from $175 to $140; Bank of America from $157 to $137; Telsey Advisory Group from $150 to $140.
- **Analyst Downgrade:** Erste Group Bank downgraded from ""buy"" to ""hold"".
- **Layoffs:** Largest layoffs announced.
- **Insider Sell:** VP Shelley Reynolds sold 3,500 shares.
- **Ownership Decrease:** Trust Bank reduced stake.

**Bullish Signals:**
- **Ownership Increases:** Bankers Trust CO, Ifm Investors Pty Ltd, Partners, Ma increased stakes.
- **New Acquisitions:** Town & Country Bank & Trust CO, Coronation Fund Managers Ltd., Hazlett Burt & Watson Inc. acquired shares.

**Net Tilt:** Bearish due to multiple price target downgrades and analyst downgrade outweighing ownership increases."
2023-01-09,27,"**Price Target Downgrades:** Jefferies, UBS, Bank of America, and Piper Sandler all downgraded Amazon’s price targets, indicating **bearish sentiment** (Jefferies from $165 to $135, UBS from $165 to $125, BoA from $157 to $137, Piper Sandler from $125 to $119).

**Product Releases & Enhancements:** Amazon launched new products including the in-car Ring, air cargo service, and Fire TV Cube, signaling **bullish activity**.

**Layoffs:** Amazon announced plans to cut 18,000 jobs and lay off 1,000 Indian employees, indicating **bearish sentiment**.

**Insider Activity:** CFO LLC purchased 417 shares, while another entity increased its stake, showing **mixed insider signals**.

**Stock Performance:** Amazon shares rose 3.1%, suggesting **short-term bullish momentum**.

**Net Tilt:** Conflicting signals but overall **slightly bearish** due to multiple downgrades and layoffs."
2023-01-10,41,"**Bearish Signals:**
- **Price Target Downgrades:** RBC lowered PT from $175 to $135; Wolfe Research from $150 to $130; Jefferies to $125.
- **Revenue Slump:** Amazon faces slowing sales.
- **Stock Performance:** Amazon lost 46% of its stock value.
- **Facility Closures:** Amazon plans to shut three UK warehouses and a Scottish distribution center.
- **Layoffs:** Amazon announced plans to cut 18,000 jobs.

**Bullish Signals:**
- **Product Enhancements:** Amazon expanding services like 'Buy with Prime' and customer reviews to third-party sites.
- **New Product Launches:** Kindle (2022) launched in India; new Ring Car Cam introduced.
- **Facility Expansion:** Amazon to open two new fulfillment centers in the UK over the next three years.

**Net Tilt:** Bearish due to multiple downgrades, revenue concerns, and significant layoffs."
