date,n_headlines,summary
2023-01-01,20,"**Net Tilt: Bearish**

- **Bearish:** Morgan Stanley downgraded Tesla’s target price from $330.00 to $250.00. SVP Andrew D. Baglino sold 10,500 shares. Tesla stock is collapsing.
- **Bullish:** JPMorgan upgraded Tesla’s target price from $137.00 to $153.00. Truist Financial raised their target from $333.00 to $348.00. Bank of America increased their target from $315.00 to $325.00. Multiple institutions increased stakes in Tesla.

**Conflicting Signals:** Downgrades and insider sales contrast with upgrades and institutional buying, leading to a net bearish tilt."
2023-01-02,33,"**Bearish Signals:**
- **Downgrades & Lower Price Targets:** Wedbush, Robert W. Baird, Goldman Sachs, and Canaccord Genuity all downgraded Tesla with lower price targets.
- **Earnings Misses:** Tesla missed both Wall Street and internal guidance.
- **Stock Performance:** Shares fell over 65% last year and dropped 37% in December.
- **Insider Sell:** CAO Vaibhav Taneja sold shares.

**Bullish Signals:**
- **Delivery Growth:** Q4 deliveries up 31%, and Tesla aims for 50% sales growth.
- **Product Launch:** Model S and X launches imminent.
- **Supply Increase:** 4680 cell production increase.
- **Ownership Increases:** Multiple firms increased holdings in Tesla.

**Net Tilt:** Bearish due to multiple downgrades and earnings misses outweighing positive delivery and product news."
2023-01-03,110,"**Bearish Signals:**
- **Price Target Downgrades:** Cowen lowered PT to $122 from $205; KGI Securities to $230 from $360; RBC Capital to $186 from $225; Goldman Sachs to $205 from $235; Deutsche Bank to $250 from $270; Piper Sandler to $340 from $360.
- **Revenue/Earnings Shortfalls:** 2022 sales/revenue missed expectations; Q4 delivery estimates missed; 2022 sales fell short; Tesla missed EPS estimates.
- **Stock Performance:** Shares fell 65% in 2022; tumbled to start 2023; down over 60%.
- **Supply/Demand Issues:** Missed production targets; Shanghai factory suspension; Model X deliveries down 8%.

**Bullish Signals:**
- **Revenue Growth:** 2022 deliveries up 40%; posted record sales; EV sales grew.

**Net Tilt:** Bearish due to multiple downgrades and revenue/earnings misses outweighing growth signals."
2023-01-04,40,"**Bearish Signals:**
- **Price Target Downgrades:** Evercore ISI ($200 from $300), RBC ($186 from $225), Cowen ($122 from $205), Truist Financial ($299 from $348), Deutsche Bank ($250 from $270).
- **Stock Declines:** Multiple reports indicate Tesla’s stock falling significantly, including a 65% drop YTD and a 12% decline in recent trading.
- **Sanctions & Fines:** South Korea fined Tesla $2.2M.
- **Insider Sell:** Elon Musk sold 4.4M shares.

**Bullish Signals:**
- **Insider Buys:** Cathie Wood bought $19M worth of Tesla stock, and multiple firms increased their stakes (e.g., Westwood Holdings, Sumitomo Mitsui Trust).

**Net Tilt:** Bearish due to overwhelming analyst downgrades and significant stock declines."
2023-01-05,34,"**Analyst Actions:** Bullish - Edward Jones upgraded Tesla to Buy from Hold. Bearish - Morgan Stanley, JPMorgan, Robert W. Baird, Mizuho, and Goldman Sachs all downgraded Tesla with lower price targets ($205-$285).

**Revenue & Sales:** Bearish - Tesla sales dropped in China, deliveries slumped in December. Bullish - Delivered 1.3M EVs in 2022, 55,796 in December.

**Stock Performance:** Bearish - Tanked 65% in 2022. Bullish - Stock up 5.1% on Wednesday, opened at $113.64 on Thursday.

**Supply & Production:** Bearish - Supply decrease noted in China. Bullish - Significant production increase reported.

**Ownership Changes:** Mixed - Multiple firms increased holdings/stakes, while others initiated positions.

**Net Tilt:** Bearish due to multiple downgrades and revenue declines outweighing positive production and ownership trends."
2023-01-06,72,"**Analyst Actions:** Bullish (Edward Jones upgraded to Buy); Bearish (Wedbush downgraded to $175, Truist downgraded to $299).

**Earnings & Revenue:** Bearish (missed consensus, December sales volume dropped); Bullish (Q4 deliveries up 40%, full-year Chinese sales up nearly 50%).

**Sanctions & Fines:** Bearish (fined over misleading claims, KFTC fined 2.85B won, facing multi-million dollar fine in South Korea).

**Product & Pricing:** Bearish (multiple price cuts in China, South Korea, Australia).

**Stock Performance:** Bearish (shares plunged 69% in 2022, hit 2-year low, fell 42%, closed at $113.64; recovered briefly).

**Net Tilt:** Bearish."
2023-01-07,22,"**Bearish Signals:**
- **Price Target Downgrades:** Cowen downgraded from $205 to $122, RBC from $225 to $186, Truist from $348 to $299, and Deutsche Bank from $270 to $250.
- **Earnings Miss:** Tesla missed expectations.
- **Stock Price Drop:** Tesla stock sank to a 29-month low, trading as low as $101.21.
- **Insider Sales:** CFO Zachary Kirkhorn and SVP Andrew D. Baglino sold shares.
- **Price Cuts:** Tesla lowered prices on its Model 3.

**Bullish Signals:**
- **Production Increase:** CyberTruck production revved up.
- **Stake Increases:** Multiple firms increased stakes in Tesla, including Renaissance Technologies, Sumitomo Mitsui Trust, Northern Trust, Charles Schwab, and others.
- **New Stakeholder:** Amica Mutual Insurance Co acquired Tesla shares.

**Net Tilt:** Bearish due to multiple downgrades, earnings miss, insider sales, and price cuts outweighing production and stake increases."
2023-01-08,17,"**Analyst Downgrades:** Cowen, Evercore ISI, Morgan Stanley, JPMorgan Chase, Goldman Sachs, Mizuho, and Deutsche Bank all downgraded Tesla, cutting price targets significantly (e.g., Cowen from $205 to $122, Morgan Stanley from $330 to $250). **Bullish vs Bearish:** Strongly Bearish.

**Price Adjustments:** Tesla initially raised prices in 2022 but recently slashed prices across all EV models in China and globally. **Bullish vs Bearish:** Mixed, but leaning Bearish due to recent price cuts.

**Catalysts:** Tesla officially opened its largest Australian site, a positive development. **Bullish vs Bearish:** Bullish.

**Ownership Changes:** Oh increased holdings in Tesla by 1.2%, and West Oak Capital acquired a new position. **Bullish vs Bearish:** Slightly Bullish.

**Stock Performance:** Tesla set a new 52-week low, with shares opening at $113.06. **Bullish vs Bearish:** Bearish.

**Net Tilt:** Strongly Bearish."
2023-01-09,34,"**Bearish Signals:**
- **Price Target Downgrades:** Royal Bank of Canada, Robert W. Baird, Goldman Sachs, and Canaccord Genuity all reduced their price targets on Tesla.
- **Stock Performance:** Tesla’s stock has dropped significantly, falling by 66% over the past year and 45% in the last three months.
- **Legal Issues:** CEO Elon Musk faces a shareholder trial.
- **Insider Sell:** CFO Zachary Kirkhorn sold shares.
- **Price Cuts:** Tesla cut prices for Model 3 and Model Y in Australia and experienced sharp price drops in China.

**Bullish Signals:**
- **Ownership Increases:** Multiple firms increased their holdings in Tesla, including Ark Invest, Mackenzie Financial, and Banco Santander.
- **Stake Acquisitions:** Pinnacle Bancorp, Verity & Verity LLC, and Raymond James Financial Services Advisors bought Tesla shares.
- **Revenue Volume:** Tesla sold 10,877 Model 3 units.

**Net Tilt:** Bearish due to multiple downgrades and significant stock declines outweighing ownership increases."
2023-01-10,35,"**Net Tilt: Bearish**

**Analyst Actions & Price Targets:**
- **Bearish:** Edward Jones upgraded Tesla to ""Buy"" but Bank of America downgraded price target from $275 to $135.

**Revenue & Sales:**
- **Bearish:** Tesla’s December sales in China plunged 41%, and overall retail electric car sales dropped 40%.

**Regulatory & Legal:**
- **Bearish:** US government investigating Tesla’s Autopilot and full self-driving features.

**Product Pricing:**
- **Bearish:** Model Y and Model 3 prices reduced in early January.

**Stock Performance:**
- **Bearish:** Shares lost nearly two-thirds value, with multiple negative events including a Bay Bridge crash.

**Positive Signals:**
- **Bullish:** Export growth in 2022 (+78%), Texas Gigafactory expansion ($776M), and some institutional buying (Ziegler Capital, Fifth Third Bancorp).

**Conflicting Signals:**
- Mixed analyst sentiment and institutional actions, but overall tilt is bearish due to significant revenue declines and regulatory scrutiny."
2023-01-11,47,"**Analyst Actions:** Bullish (Edward Jones upgraded to Buy); Bearish (Cowen downgraded PT to $122, Truist to $299, Deutsche Bank to $250).

**Stock Performance:** Bearish (shares sank 65-67% in 2022).

**Product Launches:** Bullish (Model 3/Y launched in India); Neutral (BYD’s competing model launching in India).

**Price Cuts:** Bearish (Model 3/Y prices significantly reduced in China and globally).

**Legal Issues:** Mixed (suit filed against Tesla, countersuit dismissed).

**Facility Expansion:** Bullish (Austin factory operational, expansion planned, potential Indonesian factory).

**Insider Activity:** Bullish (CFO purchases shares).

**Investments:** Bullish (Texas factory investment, supplier investment in Mexico).

**Net Tilt:** Bearish due to significant price cuts and downgrades outweighing bullish launches and expansions."
2023-01-12,31,"**Bearish Signals:**
- **Price Target Downgrades:** Multiple firms downgraded Tesla’s price targets: Wedbush ($250 → $175), RBC ($225 → $186), Robert W. Baird ($316 → $252), Mizuho ($285 → $250).
- **Earnings Miss:** Tesla missed Q4 delivery estimates.
- **Revenue Decline:** Sales in China fell.
- **Legal Setback:** Lost bid to stop workplace racism suit.
- **Executive Resignation:** Elon Musk stepping down as CEO.
- **Production Suspension:** Shanghai Gigafactory production suspended.
- **Price Cut:** Model Y price reduced.
- **Stock Performance:** Share price declined in H2 2022 and fell 3.33% in early Thursday trading.

**Bullish Signals:**
- **Profits:** Reported $11.19 billion in profits.
- **Order Growth:** Received 30,000 new orders.
- **Facility Expansion:** Plans to expand Texas factory.
- **Ownership Increases:** Multiple institutions increased stakes in Tesla.

**Net Tilt:** Bearish due to multiple downgrades, earnings miss, legal issues, and production suspension outweighing positive financial results and order growth."
2023-01-13,111,"**Analyst Actions:** Bearish. Guggenheim downgraded Tesla to Sell from Neutral. Bank of America, Wells Fargo, JPMorgan, and Citi all lowered price targets significantly (to $135, $130, $125, and $140 respectively).

**Earnings & Guidance:** Mixed. Tesla missed earnings expectations but guided for a Q4 sales rebound.

**Revenue Trends:** Mixed. Sales growth in North America (+40%) contrasts with a broader slowdown globally.

**Stock Performance:** Bearish. Tesla’s stock has declined sharply (down 64%), with multiple analysts predicting further drops.

**Product Pricing:** Bearish. Significant price cuts across models (nearly 20%) indicate weakening demand.

**Catalysts:** Bearish. Regulatory fines and ongoing market share losses in key markets add pressure."
2023-01-14,26,"**Bullish Signals:**
- **Ownership Increases:** Hancock Whitney Corp, Synovus Financial Corp, Llc, and Robeco Institutional Asset Management B.V. increased holdings in Tesla.
- **Price Cuts:** Tesla slashed Irish car prices, potentially boosting demand.

**Bearish Signals:**
- **Analyst Downgrades:** Guggenheim downgraded Tesla to ""sell""; Wells Fargo, Cowen, Morgan Stanley, Royal Bank of Canada, and Deutsche Bank all lowered price targets.
- **Earnings Miss:** Tesla missed 2022 estimates.
- **Stock Performance:** Tesla stock fell sharply, closing at $116.11, with a 0.94% drop.
- **Insider Sales:** CFO Zachary Kirkhorn and CAO Vaibhav Taneja sold shares.
  
**Net Tilt:** Bearish due to multiple downgrades, earnings miss, and insider sales outweighing ownership increases and price cuts."
2023-01-15,15,"**Analyst Downgrades:** Guggenheim downgraded Tesla to Sell; Wells Fargo lowered PT to $130; Truist reduced PT to $299; Mizuho cut PT to $250 (Bearish).

**Earnings:** Q4 EPS more than tripled to $2.26 (Bullish).

**Product Updates:** Model Y launched in 2020; Cybertruck may debut in 2023 (Neutral).

**Price Adjustments:** Model 3 and Y prices cut globally; China prices slashed (Bearish).

**Insider Activity:** Elon Musk sold 9.65M shares (Bearish).

**Ownership Changes:** Multiple firms increased stakes (Bullish); Cornerstone Capital bought shares (Bullish).

**Market Expansion:** Entering Thailand in 2023 (Bullish).

**Net Tilt:** Bearish due to multiple downgrades and price cuts, offset slightly by earnings beat and market expansion."
2023-01-16,22,"**Price Target Downgrades:** Bank of America, Cowen, Citigroup, and JPMorgan all downgraded Tesla’s price targets to $135, $122, $140, and $125 respectively from higher levels, indicating **bearish sentiment**.

**Earnings Estimate Downgrade:** Oppenheimer lowered FY2022 EPS estimates, signaling **bearishness**.

**Product Price Cuts:** Tesla reduced prices on the Model 3 to $45,000 and saw a £8,000 drop, suggesting **bearishness** due to pricing pressures.

**Demand Increase:** Reports indicate Tesla car orders rose, showing **bullishness**.

**Ownership Increases:** Multiple institutions significantly increased their stakes in Tesla, indicating **bullishness** among some large investors.

**Net Tilt:** Conflicting signals with significant bearish analyst actions and bullish ownership increases, but overall **net tilt towards bearish** due to multiple downgrades and price cuts."
2023-01-17,64,"**Analyst Actions & Price Targets:** Guggenheim downgrades Tesla to ""Sell"" from ""Neutral""; Jefferies lowers price target to $180 from $350. Edward Jones upgrades to ""Buy"" from ""Hold."" Multiple firms lower price targets: Wolfe Research to $160, Robert W. Baird to $252, Goldman Sachs to $205, KGI Securities to $196, Deutsche Bank to $250, Tudor Pickering to $128. **Bullish:** Edward Jones upgrade; **Bearish:** Downgrades, lower price targets.

**Earnings & Guidance:** Oppenheimer reduces earnings estimates; Tesla reports Q4 EPS of $1.15. **Mixed:** Reduced estimates vs. strong EPS forecast.

**Demand & Sales:** Tesla sees surging demand post-Model Y; retail sales in China surge. **Bullish:** Strong demand signals.

**Legal Issues:** Securities fraud trial begins; Tesla, Musk face trial. **Bearish:** Legal risks persist.

**Price Cuts & Market Share:** Tesla cuts vehicle prices 6.7%-19.7%; likely to gain market share. **Mixed:** Price cuts may boost short-term demand but could pressure margins.

**Stock Performance:** Tesla stock rallies 50% YTD; recent gains noted. **Bullish:** Recent performance.

**Net Tilt:** **Bearish** due to multiple"
2023-01-18,27,"**Price Target Downgrades:** Jefferies, Wells Fargo, Wedbush, and Piper Sandler all downgraded Tesla’s price targets to $180, $130, $175, and $300 respectively, indicating **bearish sentiment**.

**Revenue Increase:** Tesla China’s average daily sales rose 76%, signaling **bullish sentiment**.

**Product Price Adjustments:** Tesla raised home charger prices by 20% but cut vehicle prices in China, showing mixed signals (**net bearish**).

**Insider Activity:** Elon Musk sold 9.65M shares, indicating **bearish sentiment**.

**Supply Chain:** Tesla gained more orders from suppliers, suggesting **bullish sentiment**.

**Legal Issues:** Elon Musk is being sued by Tesla, adding **negative pressure**.

**Ownership Changes:** Multiple entities increased holdings, while others acquired shares, showing **mixed investor sentiment**."
2023-01-19,37,"**Bearish Signals:**
- **Price Target Downgrades:** Wells Fargo lowered PT to $130, Cowen to $122, RBC to $186, Citigroup to $140, Deutsche Bank to $220.
- **Stock Performance:** Tesla fell 61% YTD, sharply falling today, down 2.1%.
- **Analyst Actions:** Potter reduced price target.
- **Product Price Cuts:** Cox Automotive noted Tesla’s price cuts.

**Bullish Signals:**
- **Revenue Growth Forecast:** Analysts predict revenue growth.
- **Demand Increase:** Tesla demand in China expected to rise substantially.
- **Production Ramp-Up:** Tesla can continue increasing production.
- **Hirings:** Tesla hiring staff in Germany and other locations.
- **Ownership Increases:** Multiple firms increased holdings in Tesla.
- **Stock Gains:** Tesla up 19% in 2023, trading up 4.6%.

**Net Tilt:** Bearish due to multiple price target downgrades and significant stock losses outweighing positive signals."
2023-01-20,28,"**Analyst Downgrades & Price Target Cuts:** Guggenheim downgraded Tesla to Sell, while Cowen cut its target from $205 to $122. Goldman Sachs reduced its target from $235 to $205, and Deutsche Bank lowered it from $250 to $220. **Bullish:** Tesla repurchased 200K shares recently. **Bearish:** Stock declined 71% in 2022 and opened at $127.17 on Friday. **Neutral:** Oppenheimer downgraded Tesla but maintained Market Perform. **Mixed:** Multiple institutions increased holdings, yet new acquisitions were minor. **Upcoming Earnings:** Q4 2022 earnings on Jan 25, with Q3 revenue beating expectations at $24.2B vs $21.45B. **Net Tilt:** Bearish due to multiple downgrades and price cuts."
