date,n_headlines,summary
2023-01-01,7,"**Analyst Ratings:** Com downgraded NVDA from ""hold"" to ""sell,"" while Deutsche Bank raised the target price from $150 to $170. **Net Tilt:** Bearish (Com downgrade).

**Ownership Changes:** Management and several funds increased stakes significantly (121%, 313.6%, 27%), but one trust reduced its position by 3%. **Net Tilt:** Bullish (major increases outweigh minor reduction).

**Stake Acquisitions:** First National Corp MA ADV purchased additional shares. **Tilt:** Bullish.

**Net Signal:** Mixed, but slightly **Bullish** due to significant stake increases and new purchases despite the analyst downgrade."
2023-01-02,15,"**Price Target Adjustments:** Bearish (Tigress Financial, Raymond James, Morgan Stanley) with PTs lowered to $250, $190, and $175 respectively. Bullish (Cowen, Needham, Susquehanna) with PTs raised to $220, $230, and $185 respectively. **Revenue:** Bullish; Data Center sales grew 31% YoY to $3.8B. **Ownership Changes:** Mixed; Ma, Adv, and LLC increased holdings while Ocean Capital trimmed stake. Dorchester Wealth Management and another LLC bought shares. **Earnings Estimate:** Neutral; analysts predict EPS of 2.23 for the current year. **Net Tilt:** Slightly Bearish due to more downgrades outweighing upgrades."
2023-01-03,26,"**Price Target Adjustments:** Oppenheimer downgraded NVDA’s price target to $225 from $250 (bearish). Barclays upgraded NVDA’s price target to $170 (bullish). **Net Tilt:** Bearish.

**Product Releases & Enhancements:** NVDA unveiled multiple products including RTX 40 graphics cards, Omniverse AI tools, and partnerships with Foxconn for autonomous vehicles and EVs (bullish).

**Ownership Changes:** Several large investors increased holdings (Capital World Investors, First Merchants Corp, MD), while one reduced (bearish). **Net Tilt:** Bullish.

**Stock Performance:** NVDA shares opened at $146.14 and fell up to 3.5% (bearish). **Net Tilt:** Bearish.

**Net Overall Tilt:** Mixed, but slightly bearish."
2023-01-04,13,"**Partnerships:** Bullish. Nvidia announced partnerships with Mercedes-Benz, Foxconn, and Hon Hai to develop self-driving vehicles and enhance cloud gaming services (GeForce Now).

**Analyst Actions:** Neutral. Truist Financial maintained a ""buy"" rating but did not change the target price to $198.00.

**Ownership Changes:** Mixed. Westwood Holdings increased its position by 97.2%, while Thompson Siegel & Walmsley reduced its position by 5.3%. Net tilt is slightly bullish."
2023-01-05,12,"**Revenue Growth:** Bullish. Automotive revenue surged 86% YoY.

**Analyst Upgrade:** Bullish. Stifel Nicolaus upgraded NVDA’s target price to $175 from $165.

**Product Launches:** Bullish. Nvidia launched Omniverse cloud platform and demoed new 40-series laptops.

**Insider & Institutional Buying:** Bullish. Counsel LLC NY bought 30,372 shares, while multiple institutions increased stakes.

**Stock Performance:** Bullish. NVDA stock gained 3.0%.

**Net Tilt:** Strongly Bullish."
2023-01-06,4,"**Price Target Upgrades:** Cowen upgraded NVDA’s price target from $200.00 to $220.00 (Bullish). Susquehanna raised its target from $180.00 to $185.00 (Bullish).

**Ownership Increases:** UBS Asset Management increased holdings by 3.3% in Q2 (Bullish). Charles Schwab Investment Management increased holdings by 2.0% in Q1 (Bullish).

NET TILT: Bullish. Multiple upgrades and increased ownership indicate positive sentiment."
2023-01-07,1,"Nvidia released its latest game, a neutral event as no specific financial metrics or market reactions were provided. No EPS, revenue, or unit figures mentioned. Absence of analyst upgrades/downgrades, earnings surprises, or significant catalysts like product launches with detailed impact leaves limited actionable signals. Overall, the headline suggests a continuation of Nvidia’s gaming segment activities but lacks concrete trading-relevant data points. Net tilt: Neutral."
2023-01-08,7,"**Tigress Financial downgraded NVDA, cutting the price target from $310 to $250 (Bearish)**. 

NVDA announced strategic partnerships with Mercedes, Foxconn, and Hyundai (Bullish).

An insider sale by a director (Bearish) contrasted with management increasing their stake by 121% in Q2, while another entity reduced holdings by 23.7% in Q3 (Net Neutral).

Stock opened at $148.59 on Friday (Neutral), with Llc acquiring 3,091 shares (Bullish).

**Net Tilt:** Mixed signals, but overall slightly **Bullish** due to strategic partnerships and new stake acquisitions."
2023-01-09,19,"**Price Target Adjustments:** Bearish; Citigroup downgraded from $248 to $210, Oppenheimer from $250 to $225, Mizuho from $205 to $200. Bullish; Needham upgraded from $200 to $230, Stifel Nicolaus from $165 to $175, Susquehanna from $180 to $185. **Stock Performance:** Bearish; NVDA shares fell nearly 60% in 2022. Bullish; NVDA stocks rose, gaining over 9%. **Product Launch:** Bullish; NVDA introduced 1500 in-car. **Ownership Changes:** Mixed; Ma raised position by 6.5%, two firms increased holdings, while Community Bank sold shares. **Analyst Estimates:** Neutral; analysts forecast EPS of 2.23 for the current year. **Net Tilt:** Net bearish due to multiple downgrades and significant stock decline."
2023-01-10,2,"**Product Release:** Bullish. Nvidia debuted new DGX H100 systems, indicating continued innovation and potential for increased sales and market share.

**Partnership:** Bullish. Nvidia and Intel announced a partnership, suggesting enhanced collaboration that could drive joint product development and expand market opportunities.

**Net Tilt:** Bullish. Both major events indicate positive developments for Nvidia, supporting a BUY stance."
2023-01-11,3,"**Price Target Downgrade:** KeyBanc downgraded NVDA, lowering the price target from $230 to $220. **Bearish**.

**Product Enhancement:** Valve announced plans to improve GeForce Now on Steam Deck. **Bullish**.

**Net Tilt:** Mixed signals with one bearish and one bullish headline."
