date,n_headlines,summary
2023-01-08,5,"**Victory Capital Management Inc. increased its stake in MYR Group by 27.0%, indicating bullish sentiment.** MYR Group’s stock gained 2.6%. Analysts predict EPS of 4.51 for the current fiscal year. Revenue data shows a significant $977,000 position held. Earnings were last reported on Oct 26th. **Net tilt: Bullish.**"
2023-01-09,1,"**Executive Retirement:** MYRG CFO Betty Johnson is retiring, effective immediately. This could lead to near-term uncertainty in financial management and execution. **Bullish/Bearish:** Bearish due to potential disruption in leadership continuity. However, it may also prompt a strategic review that could unlock value. **Net Tilt:** Slightly Bearish."
2023-01-11,2,"**Ownership Increase:** Bullish. Fifth Third Bancorp increased its stake in MYRG by 86.6% in Q3, while Mutual of America Capital Management LLC raised its stake by 17.5% in Q2. Institutional support is strengthening, indicating confidence in MYRG’s prospects."
2023-01-13,4,"**Revenue Beat:** MYR Group reported Q4 revenue of $799.85M vs. consensus of $724.60M, **bullish**.

**Ownership Increase:** Victory Capital Management increased holdings by 27%, **bullish**.

**New Stake:** Handelsbanken Fonder invested $237,000, **neutral**.

**EPS Guidance:** Analysts forecast FY EPS at 4.51, **bullish**.

**Net Tilt:** Strongly Bullish."
2023-01-14,16,"MYRG saw mixed ownership activity with several large investors increasing their stakes (Principal Financial Group, Verition Fund Management, Millennium Management, Advisors, Llc, Sg Americas Securities, Fifth Third Bancorp, Mackenzie Financial Corp) indicating bullish sentiment. Conversely, some funds sold shares (Allspring Global Investments, Assenagon Asset Management, Keybank National Association) suggesting bearishness. The stock traded up 0.5%, opening at $100.89. Net tilt is slightly bullish due to significant stake increases by major investors."
2023-01-15,4,"**MYRG Daily Brief (2023-01-15)**

- **Share Price Movement**: MYRG shares gapped down to $100.39, bearish.
- **Institutional Ownership**: UBS Group AG increased its stake by 696.6% in Q3, bullish. Quantbot Technologies LP also initiated a new position in Q3, bullish.
- **Earnings Data**: Last earnings report released on Oct 26, no specific details provided.

**Net Tilt**: Mixed signals with institutional buying supporting but share price movement negative."
2023-01-16,4,"**Ownership Increase:** Bullish. Citigroup Inc. increased holdings by 1.7%, and MetLife Investment Management LLC boosted its position by 60.4%.

**Earnings Forecast:** Neutral. Analysts predict EPS of 4.51 for the current fiscal year.

**Stock Price:** Bullish. MYRG opened at $100.89 on Monday.

NET TILT: Bullish. Ownership increases and positive stock price indicate investor confidence despite neutral earnings forecast."
2023-01-17,1,"**Keybanc Downgrades MYR Group to Sector Weight From Overweight**  
Direction: Bearish  
Evidence: Keybanc downgraded MYR Group to Sector Weight from Overweight, indicating a less favorable outlook. The downgrade suggests potential underperformance relative to the sector. Price target reduced by $0.18 to an unspecified new level."
2023-01-18,4,"Institutional ownership increased: Blackrock Inc. upped its stake in MYR Group by 2.7%, indicating bullish sentiment. Janney Montgomery Scott LLC maintains a significant position worth $1.05M, suggesting sustained interest. Stock opened at $96.11, with no specific price movement signal. Earnings were last reported on Oct 26 but no details on performance or guidance provided. **Net Tilt:** Bullish (institutional buying)."
2023-01-20,5,"**Ownership Changes:** 
- **Bullish:** Captrust Financial Advisors increased holdings by 0.9% in Q2, while another LLC increased holdings by 1.3% in Q1.
- **Bearish:** New York State Teachers Retirement System trimmed position by -0.34%.

**Stock Performance:**
- **Bearish:** MYRG opened at $95.53 on Friday, down -0.11%.

**Earnings Estimate:**
- **Neutral:** Analysts expect EPS of 4.51 for the current year.

**Net Tilt:** Mixed signals with slight lean towards bearish due to recent stock performance and ownership trimming."
2023-01-22,5,"**Ownership Changes:**  
- **Bullish:** Blackrock Inc., Vanguard Group Inc., Macquarie Group Ltd., and Principal Financial Group Inc. increased their stakes in MYRG by 2.7%, 3.3%, 4.4%, and 20.1% respectively in Q1 and Q2.  
- **Bearish:** Victory Capital Management Inc. sold 23,152 shares.  
**Net Tilt:** Bullish due to significant stake increases by major investors outweighing the smaller sell-off."
2023-01-23,2,"**Ownership Increase:** Bullish - Blackrock Inc. ups stake in MYRG, indicating institutional confidence.

**Revenue Update:** Neutral - MYRG reports revenue of $3,107MM, inline with expectations, providing no additional directional signal.

NET TILT: SLIGHTLY BULLISH due to increased institutional ownership."
2023-01-24,3,"Truist Financial Corp increased its stake in MYR Group Inc., indicating **bullish** sentiment with a new position valued at $525,000. However, the stock price remained unchanged at $96.64, suggesting **neutral** market reaction. The conflicting signals result in a **net neutral** tilt."
2023-01-30,7,"**Ownership Increases:** Principal Financial Group Inc., Victory Capital Management Inc., Verition Fund Management LLC, Blackrock Inc., and Millennium Management LLC all increased their stakes in MYR Group, with notable boosts from Verition (176.2%) and Victory (27.0%). **Bullish**.

**New Stakeholder:** Can took a new position in MYR Group. **Bullish**.

**Stock Performance:** MYR Group stock opened at $97.28 on Monday, down slightly from previous close. **Bearish**.

**Net Tilt:** Bullish due to significant stake increases and new investment, but slight bearish pressure from stock performance."
2023-02-04,2,"**Ownership Increase:**  
- **Bullish**: Legal & General Group Plc increased its stake in MYR Group by 0.5% in Q2, indicating institutional confidence.  
- **Bullish**: Manufacturers Life Insurance Company acquired 738 additional shares, further signaling investor interest.

NET TILT: Bullish."
2023-02-05,9,"**Ownership Changes:** Bullish. Multiple firms increased stakes in MYRG: Llc, Blackrock Inc., Vanguard Group Inc., Macquarie Group Ltd., and Millennium Management LLC all boosted positions. However, Yousif Capital Management LLC sold shares, indicating mixed sentiment.

**New Investors:** Bullish. Sg Americas Securities LLC and Fifth Third Bancorp initiated new positions in MYRG.

**Stock Price:** Neutral. MYRG opened at $100.14 on Friday with no additional price movement details provided."
2023-02-06,1,"**Russell Investments Group Buys MYRG Shares (Bullish)**  
Russell Investments Group increased its stake in MYRG, indicating confidence in the company’s prospects. This move is seen as a positive signal for institutional support.

**Net Tilt:** Bullish  
**Evidence:** Institutional investor Russell Investments Group has bought shares of MYRG."
2023-02-08,1,Myr Group Inc. released Q4 and full-year 2022 earnings. No specific EPS or revenue figures provided. Analysts await further details during the conference call for concrete financial performance and guidance. Absence of explicit financial metrics or analyst actions leaves limited directional signals. Net tilt: Neutral until more data emerges from the call.
2023-02-11,12,"**Ownership Increases:** Victory Capital Management, Sg Americas Securities, Fifth Third Bancorp, and Quantbot Technologies increased their stakes in MYR Group, indicating **bullish** sentiment. Prudential Financial sold shares, showing **bearish** sentiment.

**Stock Performance:** MYR Group’s stock rose 0.9%, opening at $96.57, signaling **bullish** market reaction.

**New Investments:** Llc invested $237,000 in MYR Group, further reinforcing **bullish** investor interest.

**Net Tilt:** Bullish, with multiple institutions increasing their positions and positive stock performance outweighing the single bearish sale."
2023-02-12,4,"MYRG declined by 21.8% today. Institutional ownership increased with Blackrock raising its stake by 2.7% in Q1, and both Vanguard and Macquarie increasing their stakes by 3.1% and 1.8%, respectively, in Q3. **Net Direction:** Bearish due to stock decline, but Bullish signals from institutional buying pressure."
2023-02-15,8,"**Ownership Increases:** Bullish. Main lifted holdings by 29.6%, UBS by 696.6%, Inc. acquired a new stake, and Principal Financial Group increased its stake by 20.1%. Additionally, LLC acquired 458 shares.

**Earnings Preview:** Neutral. MYR Group is set to announce Q4 earnings with analysts expecting EPS of $1.05. The stock opened at $98.69 on Wednesday.

**Net Tilt:** Bullish due to significant institutional buying."
2023-02-16,1,"**Ownership Increase:** Bullish. Quantbot Technologies LP acquired a new position in MYR Group during the 3rd quarter, indicating renewed interest from institutional investors.

*NET TILT:* Bullish."
2023-02-20,6,"**Ownership Increases:** Blackrock, Vanguard, Victory Capital, Millennium Management, and State Street all increased their stakes in MYR Group, indicating institutional confidence (Bullish).

**Earnings Estimate:** Analysts predict EPS of $1.05 for the upcoming quarter (Neutral).

**Net Tilt:** Bullish due to significant ownership increases by major institutions."
2023-02-21,7,"**Ownership Changes:** Bullish - Quantbot Technologies LP initiated a new position, while UBS Group AG increased its stake by 696.6%. Bearish - Dimensional Fund Advisors LP reduced its position but still holds a significant $95.78M stake.

**Price Movement:** Bullish - MYR Group stock traded up 0.8%.

**Earnings:** Neutral - MYR Group is set to release Q4 earnings on February 22, with expectations pending.

**Net Tilt:** Slightly Bullish due to new and increased institutional positions despite one reduction."
2023-02-22,14,"**Earnings & Revenue:** MYR Group reported Q4 EPS of $1.46, beating expectations by $0.42, with record annual revenues of $3.01B (+33.7% QoQ to $864M). **Bullish.**

**Expenses:** SG&A expenses rose to $222.4M. **Bearish.**

**Net Tilt:** Bullish due to strong earnings and revenue growth outweighing higher expenses."
2023-02-23,18,"**Price Target Upgrade:** Baird raised MYR Group’s price target to $120 from $95 (Bullish).

**Revenue Growth:** Q4 revenue surged to $863.96M from $646.05M; FY2022 revenue rose to $3.01B from $2.50B (Bullish).

**Earnings Beat:** Q4 EPS Non-GAAP beat consensus at $4.91 vs. $4.49; Q4 EBITDA also beat at $42.80M vs. $41.40M (Bullish).

**CapEx Increase:** Q4 CapEx increased to $28.53M from $19.68M (Neutral).

**Trading Halt & Resumption:** Trading halted then resumed (Neutral).

**Net Profit Miss:** Q4 net profit adjusted missed consensus at $17.10M vs. $17.75M; FY2022 net profit adjusted also missed at $75.90M vs. $76.55M (Bearish).

**Pre-Tax Earnings Decline:** Q4 pre-tax income adjusted fell to $24.40M from $29.50M; FY2022 pre-tax profit declined to $114.20M from $116.3"
2023-02-24,11,"**Bullish Signals:**
- **Price Target Upgrade:** Robert W. Baird raised price target from $95.00 to $120.00.
- **Earnings Beat:** MYR Group beat expectations for FY 2022.
- **Revenue Growth:** Q4 revenue up 33.7%.
- **Ownership Increase:** Main boosted stake by 29.6% in Q4.
- **Stock Performance:** Shares up 12% YTD.

**Bearish Signals:**
- **Ownership Decrease:** Co. sold 1,194 shares in Q4.

**Net Tilt:** Bullish due to strong financial performance and upgrades outweighing minor ownership decrease."
2023-02-25,9,"**Earnings:** MYR Group reported EPS of $1.20, beating expectations. **Bullish.**

**Institutional Ownership:** Multiple firms increased their stakes in MYR Group, including Captrust Financial Advisors (+0.9%), Victory Capital Management (+25.6%), and Verition Fund Management (+176.2%). **Bullish.**

**Stock Performance:** MYR Group’s stock rose 4.4%. **Bullish.**

**Net Tilt:** Strongly Bullish."
2023-02-27,12,"**Price Target Upgrade:** Robert W. Baird increased MYRG’s price target to $120.00 (Bullish).

**Revenue Beat:** Q4 revenue was $863.96M vs. $736.59M consensus (Bullish).

**Institutional Ownership Growth:** Multiple institutions increased stakes (Quantbot, Blackrock, Millennium) while Aviva trimmed holdings (Mixed).

**Stock Performance:** MYRG stock up 6.6% (Bullish).

**Earnings Guidance:** Analysts predict EPS of 5.18 for the current year (Neutral).

**Catalysts:** MYR Group to attend Sidoti Investor Conference in March (Bullish)."
2023-02-28,9,"**Bullish Signals:**
- **Price Target Upgrade:** Robert W. Baird raised MYRG’s price target from $95.00 to $120.00.
- **Institutional Ownership Increases:** Multiple institutions (Vanguard, Macquarie, Legal & General, RBC, LLC) increased their stakes in MYRG.

**Bearish Signal:**
- **Ownership Decrease:** Axa trimmed its position in MYRG.

**Neutral Signal:**
- **Earnings Call:** MYRG held its Q4 2022 earnings call.

**Net Tilt:** Bullish due to multiple upgrades and increased institutional ownership outweighing the single ownership decrease."
2023-03-01,3,"**MYRG Daily Brief for 2023-03-01**

- **Momentum & Performance**: MYRG has seen strong gains, increasing 31.48% over the past quarter (bullish).
- **Analyst Ratings**: Zacks upgraded MYRG to #1 (Strong Buy) (bullish).

**Net Tilt:** Bullish.

Conflicting signals not present; all indicators suggest a BUY."
2023-03-02,14,"**Revenue Growth:** Bullish; MYR Group reported Q4 revenue up 33.7%.

**Institutional Ownership Increases:** Bullish; Quantbot Technologies, UBS Group, Sg Americas Securities, Principal Financial Group, Verition Fund Management, Blackrock Inc., and Millennium Management all increased their stakes.

**Ownership Decrease:** Bearish; Lazard Asset Management sold 4,379 shares.

**Stock Performance:** Mixed; MYR Group stock gained 0.9%, but MetLife Investment Management maintained stable holdings.

**Earnings Guidance:** Neutral; analysts predict EPS of 5.43 for the current year.

**Net Tilt:** Bullish due to strong revenue growth and significant institutional buying outweighing the single ownership decrease."
2023-03-04,2,"**Analyst Upgrade:** Com upgraded MYRG to ""Strong-Buy"" with a new price target of $0.94, indicating **bullish** sentiment.

**Ownership Increase:** Inc. significantly increased its stake in MYRG by 6,500%, suggesting **bullish** institutional confidence.

**Net Tilt:** Bullish. Both signals indicate strong positive interest in MYRG."
2023-03-05,1,"**Ownership Decrease:** Tower Research Capital LLC sold shares of MYRG, reducing ownership by 0.34%. **Bearish** as institutional selling can signal reduced confidence in the stock.

NET TILT: Bearish"
2023-03-06,5,"**Revenue Growth and Positive Analyst Action:**  
- **Bullish:** Robert W. Baird upgraded MYR Group’s target price from $95.00 to $120.00.
- **Bullish:** Q4 revenue surged 33.7% YoY to $863.96M, beating the consensus estimate of $736.59M.
- **Bullish:** Blackrock Inc. increased its stake by 2.7%, indicating institutional support.
- **Neutral:** EPS forecast for FY is 5.43.

**Net Tilt:** Bullish."
