date,n_headlines,summary
2023-01-07,5,"**Ownership Changes:** Wells Fargo increased its stake by 234.8%, while Eaton Vance increased by 53.8%; however, Revenue Sells decreased holdings by selling 951 shares (mixed signals).

**Stock Price and EPS Estimates:** JJSF opened at $152.64; analysts predict EPS of 4.86 for FY.

**Net Tilt:** Ownership shows strong institutional interest but mixed signals; EPS estimates neutral. **HOLD** until clearer direction emerges."
2023-01-10,5,"**Cl King upgraded JJSF’s target price from $165.00 to $180.00, bullish.** Institutional investors increased holdings: Synovus Financial Corp upped its position by 1.3% in Q3, Eaton Vance Management by 53.8% in Q1, and Wells Fargo & Co by 234.8% in Q2, all bullish. **JJSF stock fell 2.0% today, bearish.** Net tilt: mixed but slightly bullish due to upgrades and significant institutional buying outweighing the recent price drop."
2023-01-14,4,"**Ownership Increase:** Bullish. Revenue grew its holdings in JJSF by 8.9%, indicating institutional confidence.

**Stake Acquisition:** Bullish. Sg Americas Securities LLC acquired 2,666 additional shares, showing continued interest from investment firms.

**Earnings Estimate:** Neutral. Analysts predict EPS of 4.86 for the current year, providing a stable outlook but lacking directional signal.

**Net Tilt:** Bullish. Multiple institutional actions suggest positive sentiment towards JJSF."
2023-01-16,2,"**Ownership Increase:** Bullish. Synovus Financial Corp. increased its stake in JJSF by 1.3% in Q3, indicating institutional confidence. Additionally, New York State Teachers Retirement System purchased 200 new shares, further signaling investor interest."
2023-01-17,2,"**Ownership Changes:** 
- **Bullish:** Associates increased holdings by 25.0% in Q1.
- **Bearish:** Inc. cut stake by reducing holdings.

**Net Tilt:** Mixed signals with slight lean bullish due to larger percentage increase from Associates."
2023-01-21,5,"**Price Target Upgrade:** Cl King upgraded JJSF’s price target from $165.00 to $180.00, bullish.

**Stock Performance:** Shares gapped up to $148.41, indicating strong buying interest, bullish.

**Ownership Increase:** Inc. significantly increased its stake by 578.6% in Q3, signaling confidence, bullish.

**Earnings Update:** Last earnings were released on Nov 14th; analysts predict EPS of 4.86 for FY, neutral.

**Net Tilt:** Strongly Bullish."
2023-01-22,4,"**Ownership Changes:**  
- **Bullish:** De lifted its holdings in J&J Snack Foods by 12.7%.  
- **Bearish:** Comerica Bank reduced its holdings by 0.34%.

**Earnings Data:**  
- No new earnings data released today; last earnings were posted on Nov 14th.

**Net Tilt:** Mixed signals from ownership changes, but overall slightly bullish due to De’s significant increase."
2023-01-27,1,"**Earnings Preview: J&J Snack Foods**

- **Analyst Actions:** No significant analyst actions reported.
  
- **Earnings Estimate:** No specific earnings beat/miss details provided.

- **Catalysts & Signals:** 
  - **Bullish:** None identified.
  - **Bearish:** None identified.

**Net Tilt:** Neutral due to lack of concrete signals.

A trader should await further developments or earnings release details before making a decision."
2023-01-28,7,"**Bullish Signals:**
- **Price Target Upgrade:** Cl King raised price target from $165.00 to $180.00.
- **Increased Ownership:** Multiple firms increased holdings or initiated new stakes (Llc, Jane Street Group LLC, Pathstone Family Office LLC).

**Neutral Signals:**
- **Current Stock Price:** Opened at $149.64.
- **Analyst EPS Estimate:** Anticipated EPS for FY is 4.83.

**Net Tilt:** Bullish due to multiple ownership increases and a significant price target upgrade."
2023-01-29,2,"Institutional ownership trends mixed: System lifted its position in JJSF by 1.3%, potentially bullish. Conversely, Russell Investments sold 3,868 shares, slightly bearish. Net signal mildly positive due to larger increase from System."
