date,n_headlines,summary
2023-01-06,4,"**Ownership and Acquisitions:** Bullish. Amundi acquired a new position in ANDE, indicating institutional interest. Llc holds $7.96M in ANDE, suggesting continued support.

**Earnings Estimates:** Neutral. Analysts expect EPS of 3.46 for the current year, inline with previous estimates, providing no new directional signal.

**Net Tilt:** Slightly Bullish due to institutional buying, but earnings expectations unchanged."
2023-01-11,5,"**Revenue Beat:** Bullish. Q4 revenue was $4.22B vs. analyst estimates of $3.14B.

**Institutional Ownership:** Mixed. System increased holdings by 4.5%, while Revenue Sells decreased by 1,756 shares.

**Analyst Estimates:** Neutral. Analysts predict FY EPS of 3.46, unchanged from previous estimates.

**Net Tilt:** Bullish due to strong revenue beat and institutional buying outweighing selling."
2023-01-14,2,"Andersons Inc (ANDE) stock is down 8.05%. No specific earnings or revenue details provided in the headlines. The company hosted a conference call, which may contain further insights but no concrete signals from it are available here. Overall, the single significant signal is bearish due to the stock loss. Net tilt: **Bearish**."
2023-01-21,10,"**Dividends & Ownership:** Bullish. Andersons increased its dividend, and multiple firms (System, Inc., Federated Hermes Inc., Captrust Financial Advisors, Amundi) have increased their stakes, indicating confidence.

**Stock Performance:** Bearish. ANDE declined by 21.0%, and one firm trimmed its stake, suggesting some investor uncertainty.

**Earnings:** Neutral. Earnings data was recently issued but no specific beat/miss details provided. Analysts forecast EPS of 3.46 for the current year.

**Net Tilt:** Mixed signals with slight bullish bias due to dividend increase and stake accumulations outweighing the stock decline."
2023-01-25,1,"**Earnings Release:** The Andersons, Inc. will release Q4 and full-year results on Feb 14. No specific guidance or analyst actions mentioned yet. **Neutral** until further details emerge."
2023-01-26,4,"**Ownership Changes:** Federated Hermes increased holdings by 762.0% in Q1 and Inc. increased by 115.8% in Q2 (bullish). Comerica Bank reduced its position (bearish).

**Earnings Estimate:** Analysts predict EPS of $3.46 for the current year (neutral).

**Net Tilt:** Mixed signals with significant institutional buying offset by a reduction from Comerica Bank. Overall slightly bullish due to substantial increases from major investors.

**Action:** Hold until further clarity on specific investor motivations."
2023-01-27,1,"**Ownership Update:** Victory Capital Management Inc. increased its position in ANDE to $12.74 million. This is a **bullish** signal as institutional ownership often indicates confidence in the stock’s future performance.

*NET TILT: BULLISH*"
2023-02-03,6,"**Revenue Beat:** Bullish. The Andersons reported Q revenue of $4.22B vs. consensus $3.14B.

**Dividend Increase:** Bullish. Quarterly dividend raised from $0.18 to $0.62.

**Institutional Ownership Growth:** Bullish. Raymond James, BNY Mellon, and Citigroup increased holdings by 12.5%, 5.0%, and 9.7% respectively. Additionally, The Manufacturers Life Insurance Company acquired shares.

**Net Tilt:** Strongly Bullish."
2023-02-04,3,"**Insider Activity:** Management sold 10,587 shares and decreased holdings by 87.7% in Q3 (bearish).

**Earnings Estimate:** Analysts expect EPS of $3.46 for FY23 (neutral).

**Net Tilt:** Bearish due to significant insider selling and ownership decrease."
2023-02-06,2,"**Ownership Increase:** Federated Hermes Inc. increased its stake in ANDE by 762.0% in Q1, indicating strong institutional interest (Bullish).

**Stock Performance:** ANDE stock gained 0.6% today (Bullish).

**Net Tilt:** Bullish due to significant institutional buying and positive price movement."
2023-02-07,7,"Institutional ownership trends mixed but generally bullish: Millennium Management LLC increased holdings by 822%, Invesco Ltd. by 35.6%, State Street Corp. by 8.1%, and Captrust Financial Advisors by 10.0%. However, Sg Americas Securities LLC reduced holdings by 34%. Shares opened at $38.63. Net tilt: Bullish due to significant increases from major institutions."
2023-02-08,6,"**Ownership Increases:** Multiple firms increased stakes in ANDE: System boosted by 4.5%, Credit Suisse by 1.5%, and Navellier & Associates by 7.4%. Prudential Financial also acquired 5,380 new shares, investing $376k. **Bullish** on investor confidence.

**Stock Price:** Opened at $38.49 on Wednesday. No direct earnings or guidance updates provided. **Neutral** on price movement without additional context.

**Net Tilt:** Bullish due to significant ownership increases."
2023-02-09,2,"**Ownership Increase:** Bullish. Blackrock Inc. increased its stake in ANDE by 2.2%, while Vanguard Group Inc. upped its position by 1.4% in Q1, indicating institutional confidence.

NET Tilt: Bullish."
2023-02-12,6,"**Ownership Increases:** Raymond James, Bank of New York Mellon, Cambridge Investment Research, and Citigroup all increased their stakes in ANDE (Bullish). 

**Earnings Estimate:** Analysts predict EPS of $0.40 for Q1 (Neutral).

**Stock Price:** Opened at $38.06 on Friday (Neutral).

**Net Tilt:** Bullish due to multiple large ownership increases indicating institutional confidence."
2023-02-14,23,"**Earnings:** Q4 Non-GAAP EPS of $0.98 beats estimates by $0.49 (bullish). However, GAAP EPS of $0.26 missed consensus by $0.27 (bearish). Full-year earnings were record-high (bullish).

**Revenue:** Q4 revenue of $4.68B exceeded analyst expectations of $4.28B (bullish).

**Share Repurchase:** Company repurchased $5M in common shares (bullish).

**Product Price:** Fertilizer prices declining (bearish).

**Ownership Changes:** System trimmed position (bearish), while Mutual of America and Russell Investments increased holdings (bullish).

**Net Tilt:** Mixed signals with revenue and EPS beat, but GAAP miss and falling fertilizer prices offsetting positive trends. **HOLD** recommended pending further clarity."
2023-02-15,11,"**Earnings & Financials:** Q4 pre-tax profit down to $38.70M vs $76.62M, EBITDA adjusted down to $71.00M vs $130.50M (bearish). FY2022 sales beat consensus at $17.33B vs $16.93B, Q4 sales up to $4.68B vs $3.78B (bullish). FY2022 EPS up to $3.81 vs $3.07 (bullish).

**Analyst Action:** Lake Street Capital Markets downgraded PT to $50 (bearish).

**Dividends:** Q4 dividend per share up to $0.1775 vs $0.1750, FY2022 dividend per share up to $0.71 vs $0.70 (bullish).

**Market Reaction:** Shares gained 14% (bullish).

**Net Tilt:** Mixed signals with significant financial decline but strong revenue and EPS growth, positive market reaction, and dividend hikes. **NET TILT: MEDIUM BULLISH.**"
2023-02-16,11,"**Bullish Signals:**
- **Revenue Growth:** Q4 revenue up 23.7% YoY.
- **Price Target Upgrade:** Stephens raised PT to $55 from lower.
- **Institutional Ownership Growth:** Multiple institutions increased holdings (Captrust, Blackrock, Vanguard, DFA, State Street, Invesco).
- **Analyst Rating:** Stephens maintains ""Overweight"" rating.

**Bearish Signals:**
- **Unit Sale Completion:** Finished selling railcar business.

**Net Tilt:** Bullish due to strong revenue growth, multiple upgrades, and institutional buying outweighing the completion of a unit sale."
2023-02-17,7,"**Ownership Increase:** Bullish. Advisors LLC and Millennium Management LLC increased their stakes, with Millennium lifting its position by 822%.

**Earnings Announcement:** Neutral. The company announced Q4 2022 earnings but no specific details were provided.

**EPS Estimate:** Neutral. Analysts expect EPS of 2.56 for the current year.

**Dividend:** Neutral. The company maintained its quarterly cash dividend at $0.185 per share.

**Net Tilt:** Neutral. Ownership increases suggest institutional confidence, while earnings and dividend actions lack specific bullish or bearish signals."
2023-02-19,5,"**Revenue Beat:** Bullish. Q4 revenue was $4.68B vs. estimates of $4.28B, a 23.7% YOY increase.

**Insider Sell:** Bearish. Director Michael J. Anderson sold 6,000 shares.

**Institutional Ownership:** Bullish. Both System and Ltd. increased their holdings by 4.5% and 4.4%, respectively.

**Net Tilt:** Mixed signals with significant revenue beat and institutional buying offset by insider sell."
2023-02-20,16,"**Earnings & Guidance:** Q1 EPS beat at $1.14 vs. consensus $0.62; Q1 2023 EPS estimates downgraded to $0.62. **Ownership Trends:** Multiple institutions increased holdings (Lazard, Captrust, Blackrock, Vanguard, Dimensional Fund Advisors, State Street, Invesco), but VP Brian K. Walz sold 2,536 shares. **Price Action:** Stock up 1.1%, opened at $45.21. **Net Tilt:** Mixed, with strong earnings beat offset by EPS downgrade and insider sell."
2023-02-22,2,"**Ownership Increase:** Bullish. Millennium Management LLC increased its holdings in ANDE by 822.0% in Q2, indicating confidence in the stock. Additionally, another LLC purchased a new stake in ANDE during Q3, further signaling institutional interest and support."
2023-02-23,5,"**Revenue Beat:** Bullish. Q4 revenue was $4.68B vs. analyst estimates of $4.28B.

**Institutional Ownership Increase:** Bullish. Captrust Financial Advisors increased stake by 10.0%, and PNC Financial Services Group Inc. increased by 2.6%.

**EPS Guidance:** Neutral. Analysts expect FY EPS of $2.56.

**Earnings Release:** Neutral. Earnings were released on Feb 15th, but no specific EPS details provided beyond guidance.

**Net Tilt:** Bullish. Revenue beat and institutional buying outweigh neutral guidance and earnings release."
2023-03-01,6,"**Ownership Changes:** Federated Hermes Inc. increased holdings by 762.0% in Q1, while another firm increased holdings by 115.8% in Q2 (Bullish). Conversely, Shell Asset Management Co. reduced its holdings (Bearish).

**Stock Performance & Earnings:** ANDE opened at $45.63 on Wednesday. Analysts expect EPS of 2.33 for the current year (Neutral).

**Net Tilt:** Bullish due to significant ownership increases outweighing the reduction by Shell Asset Management."
2023-03-02,13,"**Earnings & Revenue:** Bullish. EPS of $1.14 vs. expectations, revenue of $4.68B vs. $4.28B consensus.

**Insider Sales:** Bearish. Michael J. Anderson, Anne G. Rex, and Brian K. Walz sold shares recently.

**Institutional Ownership:** Bullish. Multiple institutions increased holdings: Amundi, Captrust Financial Advisors, MML Investors Services LLC, Millennium Management LLC, Invesco Ltd., Blackrock Inc., and Dimensional Fund Advisors LP.

**Net Tilt:** Mixed signals but overall slightly bullish due to strong earnings/revenue and institutional buying outweighing insider sales."
2023-03-03,1,"**Ownership Increase:** Bullish. Corp increased its stake in ANDE by 817.4% in Q4, indicating confidence and potential support for the stock."
2023-03-04,4,"**Ownership Changes:** Federated Hermes Inc. significantly increased its stake in ANDE by 762.0%, indicating bullish sentiment (Bullish). Conversely, Point72 Asset Management L.P. sold 30,400 shares, signaling bearishness (Bearish).

**Dividends & Earnings Estimates:** ANDE announced a quarterly dividend payable on April 24th, maintaining shareholder returns (Neutral). Analysts expect EPS of $2.33 for the current fiscal year, suggesting stable earnings expectations (Neutral).

**Net Tilt:** Mixed signals with a slight lean towards Bullish due to significant stake increase by Federated Hermes."
