date,n_headlines,summary
2023-01-08,3,"**Ownership Increase:** Bullish. Citigroup Inc. increased its stake in IIIN by 16.4%, indicating institutional confidence.

**Stock Performance:** Bullish. IIIN’s stock gained 3.9%.

**Revenue Update:** Neutral. IIIN reported Q1 revenue of $207.99 million, no specific comparison provided.

**Net Tilt:** Bullish. Institutional buying and positive stock movement suggest near-term optimism."
2023-01-09,6,"**Ownership Increases:** Multiple institutional investors increased their stakes in IIIN, including Renaissance Technologies (498.6% increase Q2), Prudential Financial (425.9% increase Q1), and two unnamed firms (new stake Q3, 25% increase Q3). Additionally, Money Concepts Capital Corp and another LLC purchased shares (7,229 shares). **Bullish** on investor confidence and potential for future growth.

**Net Tilt:** Bullish"
2023-01-15,2,"**Ownership Changes:** Revenue reduced its stake in IIIN, indicating a **bearish** sentiment as institutional investors pare down positions. However, Revenue still holds a significant position worth $358,000, suggesting some continued interest. **Net Tilt:** Bearish due to the reduction but with moderate support from the remaining stake.

No other trading-relevant signals provided."
2023-01-18,5,"**Earnings Preview:** IIIN reports Q1 earnings on Jan 19. Analysts expect EPS estimates and $769.8M in annual sales. **Neutral**; no specific EPS guidance provided.

**Analyst Actions:** No recent analyst upgrades/downgrades or PT changes noted. **Neutral**

**Catalysts:** None significant. **Neutral**

**Net Tilt:** Neutral; no clear bullish or bearish signals from current headlines."
2023-01-19,23,"**Revenue and Earnings:** IIIN reported Q1 revenue of $166.9M, a 6.5% YOY decline, missing expectations. EPS was $0.57, missing the $0.85 estimate by 32.94%, indicating **bearish** sentiment.

**CapEx:** CapEx increased significantly to $8.20M vs. $838K last year, suggesting higher investment but no immediate boost to earnings, **neutral**.

**Stock Performance:** Shares fell nearly 12% post-earnings, reflecting poor performance and investor disappointment, **bearish**.

**Dividend:** Paid a special cash dividend of $38.9M, positive for shareholders but may impact future earnings, **mixed**.

**Net Tilt:** Strongly **Bearish** due to revenue and earnings misses, despite higher capex and dividend payout."
2023-01-20,3,"**Earnings Downbeat**: IIIN reported EPS of -$0.67 for Oct-Dec, missing expectations. This is bearish as it indicates profit shrinkage. However, the Q1 2023 earnings call suggests no significant change in overall performance, tilting slightly neutral. **Net Tilt**: Bearish due to the negative EPS figure."
2023-01-22,9,"**Net Tilt: Bearish**

- **Bearish:** Com lowered Insteel Industries' rating from ""buy"" to ""hold.""
- **Bullish:** Multiple institutions increased holdings: Royce & Associates LP (+19.2%), Captrust Financial Advisors (+11,836.4%), Sg Americas Securities LLC (+42.4%), Mutual of America Capital Management LLC (+16.7%), Kbc Group NV, and Quantbot Technologies LP entered new positions.
- **Neutral:** Revenue reported at $207.99M (no guidance provided).
- **Bullish:** Stock price up 4.9%.

**NET TILT:** Conflicting signals but overall slightly bearish due to analyst downgrade."
2023-01-23,2,"**Ownership Increase:** Royce & Associates LP increased its stake in IIIN, indicating potential confidence in the stock’s future performance (Bullish).

**Revenue Update:** IIIN reported revenues of $785MM, aligning with expectations but lacking specific growth or decline details (Neutral).

NET TILT: Bullish due to ownership increase, though revenue data is neutral."
2023-01-24,7,"**Earnings Below Expectations:** IIIN missed Q1 2023 EPS expectations. **Bearish.**

**Ownership Trends:** 
- Institutional ownership increased significantly with Advisors boosting stake by 11,836.4% and Prudential Financial by 425.9%. **Bullish.**
- Los Angeles Capital Management reduced its stake. **Bearish.**

**Stock Performance:** 
- IIIN stock up 0.8% today but down 9.9% from a week ago. **Mixed.**

**Net Tilt:** Mixed signals; earnings miss is bearish, but significant institutional buying suggests support."
2023-01-30,3,"Analysts show mixed signals on IIIN. Com cut the stock from ""buy"" to ""hold,"" negative (-0.58). However, institutional ownership trends are mixed: Mutual of America Capital Management increased holdings by 16.7% in Q2, positive (+0.37), while Comerica Bank reduced its stake, negative (-0.34). Net tilt is slightly bearish due to the analyst downgrade."
2023-02-07,4,"**Ownership Increases:** 
- **Bullish:** Corp increased stake by 8.2% in Q3, and Mutual of America Capital Management LLC increased stake by 16.7% in Q2.
  
**Stock Performance:**
- **Bearish:** Insteel Industries stock down 2.5%.

**Net Tilt:** Mixed signals with significant institutional buying but recent stock decline."
