date,n_headlines,summary
2023-01-12,4,"**Settlement Recovery Positive:** York Water Co. (YORW) has settled a rate case with the Pennsylvania Public Utility Commission, recovering approximately $176 million. This settlement is highly **bullish**, providing a significant financial boost to the company’s cash flow and earnings.

**Direction:** Bullish  
**Evidence:** Settlement recovery of $176 million."
2023-01-18,8,"**Dividends:** Bullish. York Water increased its quarterly dividend to $0.62 from $0.19.

**Analyst Ratings:** Bullish. TheStreet upgraded York Water.

**Revenue:** Bullish. QTR revenue was $15.81M vs. estimates of $15.00M.

**Ownership Changes:** Mixed. Allspring Global Investments and Srs Capital Advisors increased holdings significantly, while Strs Ohio sold shares. Net tilt slightly bullish due to large increases from major investors.

**Stock Price:** Neutral. Opened at $46.63."
2023-01-20,7,"**Ownership Increases:** Multiple institutional investors increased their stakes in YORW: Zimmer Partners LP (+1,571.2%), State Street Corp (+9.3%), Renaissance Technologies LLC (+16.8%), Northern Trust Corp (+11.3%), and Eaton Vance Management acquired a new stake. Ellevest Inc. also acquired shares. **Bullish** on investor confidence.

**Earnings Release:** YORW released quarterly earnings on Nov 3rd but no specific details provided in headline. **Neutral** until further details emerge."
2023-02-02,6,"**Acquisition & Ownership Increases:** Bullish. Kestra Advisory Services LLC purchased YORW, indicating confidence. Zimmer Partners LP increased holdings by 1,571.2%, and Penn Capital Management Company LLC increased holdings by 652.0%.

**Revenue Beat:** Bullish. Q4 revenue was $15.81M vs. analyst expectations of $15.00M.

**Earnings Update:** Neutral. Earnings were last reported on Nov 3rd, no new data provided.

**Net Tilt:** Bullish. Multiple large ownership increases and a significant revenue beat support a positive outlook."
2023-02-09,4,"**Ownership Increases:** Allspring Global Investments Holdings LLC increased holdings by 203,500%, and Quantbot Technologies LP increased holdings by 333% (Bullish).

**Stake Acquisition:** Virtu Financial bought 5,479 shares (Bullish).

**Price Movement:** YORW traded down 2.7% (Bearish).

**Net Tilt:** Mixed signals with significant ownership increases offset by recent price decline."
2023-02-13,2,"York Water (YORW) declared a dividend of $0.20, neutral for trading but positive for long-term investors seeking income. Revenue came in at $62MM, neutral as no comparison or guidance was provided. No analyst upgrades/downgrades or earnings surprises were reported. Absent other catalysts like product launches or significant legal actions, the net signal remains neutral. Hold recommendation for the next session."
2023-02-14,7,"**Ownership Increases:** Allspring Global Investments, Quantbot Technologies, Ellevest Inc., Zimmer Partners, and State Board of Administration of Florida Retirement System significantly increased their stakes in YORW. Allspring grew its stake by 203,500%, Quantbot by 333%, Ellevest by 772.2%, Zimmer by 1,571.2%, and Florida Retirement System purchased new shares. **Direction:** Bullish. Institutional buying indicates confidence in YORW’s future performance.

**Stock Price:** Opened at $44.28. **Direction:** Neutral. No additional trading signal provided beyond opening price.

**Net Tilt:** Bullish. Multiple large ownership increases suggest positive sentiment."
2023-02-25,9,"**Analyst & Ownership:** Bullish – TheStreet upgraded York Water; Morgan Stanley, Eaton Vance, Vanguard, and Penn Capital increased stakes.

**Stock Performance:** Bearish – YORW stock down 0.8%.

**Dividends:** Neutral – Declared a $0.20 quarterly dividend.

**Earnings Estimate:** Neutral – Analysts expect EPS of $1.53.

**Net Tilt:** Mixed signals with a slight bullish bias due to upgrades and increased ownership."
2023-03-07,13,"**Earnings & Revenue Beat:** York Water (YORW) Q4 GAAP EPS of $0.35 beat estimates by $0.03, with revenues at $15.11M, exceeding the consensus of $14.00M by 7.94%. **Bullish**.

**Revenue Growth:** Q4 sales rose to $15.11M from $13.73M YoY, while FY2022 sales grew to $60.06M from $55.12M. **Bullish**.

**Investment Plans:** York Water plans to invest $60.6M in 2023, up from $50.5M previously. **Neutral to Bullish**.

**Conflicting Signals:** While strong earnings and revenue growth are positive, increased investment may pressure margins. **Net Tilt: Bullish**."
2023-03-10,2,"York Water Company (YORW) reported Q4 earnings of 35 cents per share, beating the expected 31 cents, a bullish signal. Zacks maintains a Buy rating but reduced the price target to $34 from $38, indicating a slight bearish adjustment in valuation expectations. The net signal is mixed, with earnings outperformance offset by a lowered price target. 

Direction: Mixed (Bullish on earnings, Bearish on valuation)."
2023-04-10,6,"**Revenue Beat:** York Water reported Q4 revenue of $15.11M, beating estimates of $14.00M (bullish).

**Institutional Ownership Growth:** System, Wells Fargo, and another institution increased their stakes in YORW by 2.6%, 2.4%, and 9.0% respectively (bullish).

**Stock Performance:** YORW set a new 52-week high of $47.67 (bullish).

**Earnings Release:** YORW released earnings on March 7th (neutral).

**Net Tilt:** Strongly Bullish."
2023-04-12,3,"**Ownership Increases:** Verition Fund Management LLC increased holdings by 25.9% in Q2, while Inc. increased holdings by 2.4% in Q3, and MetLife Investment Management LLC increased holdings by 4.3% in Q4. **Bullish** on investor confidence and potential for future growth.

**Net Tilt:** Bullish."
2023-04-18,2,"**Revenue Beat:** Bullish. York Water reported Q1 revenue of $15.11M, beating the consensus estimate of $14.00M.

**Stock Performance:** Bearish. York Water stock opened at $44.56, down from previous close.

**Net Tilt:** Mixed signals with revenue beat positive but stock performance negative."
2023-04-25,9,"**Revenue Beat:** Bullish. York Water reported Q4 revenue of $15.11M vs. $14.00M consensus.

**Institutional Ownership:** Bullish. Vanguard, State Street, Renaissance Technologies, Northern Trust, and KBC increased stakes. Ellevest sold shares.

**Stock Price:** Bearish. YORW stock down 1.2%.

**Earnings:** Neutral. Earnings released on Mar 7th, no specific details provided."
2023-05-02,11,"**Earnings:** Bullish. York Water reported Q1 net income of $3.65M and EPS of $0.26, meeting expectations. Revenue was $15.4M, beating estimates by 2.67%. However, EPS and net profit declined year-over-year from $0.29 and $3.86M respectively.

**Capital Investment:** Neutral. The company invested $10.6M in capital projects.

**Net Tilt:** Mixed. Positive on revenue and inline earnings but negative on declining EPS and net profit."
2023-05-29,2,"**Ownership Increase:** Bullish. Jane Street Group LLC bought a new position in York Water in Q3, indicating institutional interest.

**Earnings Release:** Neutral. York Water released its quarterly earnings on May 2nd, but no specific details on EPS, revenue, or guidance were provided in the headline. No earnings beat/miss information available.

**Net Tilt:** Mixed signals with one bullish and one neutral point. More context needed for a definitive action."
2023-08-03,8,"**Earnings & Revenue:** Bullish. York Water (YORW) Q2 earnings and revenues beat estimates. GAAP EPS was $0.45, beating by $0.01, with net profit rising to $6.5M from $5.03M. Revenues were $18.8M.

**Capital Investment:** Neutral. The company invested $29.7M in capital projects, indicating continued infrastructure focus.

**Net Tilt:** Bullish. Strong earnings and revenue growth outweigh neutral investment signals."
2023-08-08,7,"**Ownership Increases:** Multiple institutions increased their stakes in YORW: Sg Americas Securities LLC initiated a new position, while Bank of New York Mellon Corp, Cambridge Investment Research Advisors Inc., Metlife Investment Management LLC, and Charles Schwab Investment Management Inc. all boosted their holdings (Bullish).

**Price Action:** Shares opened at $41.76 on Tuesday (Neutral).

**Net Tilt:** Bullish due to significant institutional buying."
2023-08-09,1,"**Ownership Increase:** Bullish. PNC Financial Services Group Inc. increased its stake in York Water by 6.4% in Q1, indicating potential confidence in the company’s prospects.

**Net Tilt:** Bullish. Increased ownership suggests institutional support and positive sentiment towards YORW."
2023-08-14,7,"**Institutional Ownership:** Bullish. Vanguard, Dimensional Fund Advisors, State Street, Geode Capital, and Morgan Stanley all increased their positions in YORW, indicating confidence. However, Victory Capital Management decreased its position, showing some bearish sentiment. **Net Tilt:** Bullish.

**Stock Price:** Neutral. Opened at $41.86 with no significant movement indicated. 

**Net Tilt:** Overall Bullish due to multiple large increases in institutional ownership."
2023-08-26,8,"**Revenue Beat:** Bullish. York Water reported Q3 revenue of $18.77M vs. analyst estimates of $17.00M.

**Institutional Ownership Increase:** Bullish. Multiple institutions increased stakes: Vanguard (+6.8%), Dimensional Fund Advisors (+3.1%), State Street (+4.3%), Geode Capital (+3.6%), and Morgan Stanley (+108.4%).

**Stock Performance:** Neutral. Shares opened at $41.43 on Friday with no significant movement indicated.

**New Stakeholder:** Bullish. Zurcher Kantonalbank acquired shares in York Water.

**Net Tilt:** Strongly Bullish."
